"",BBK01.OECB10N,BBK01.OECB10N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:50,
2002-01,11.896,
2002-04,12.425,
2002-07,11.739,
2002-10,10.647,
2003-01,10.106,
2003-04,10.222,
2003-07,9.614,
2003-10,9.341,
2004-01,9.084,
2004-04,8.766,
2004-07,8.650,
2004-10,7.765,
2005-01,8.275,
2005-04,7.986,
2005-07,8.028,
2005-10,6.371,
2006-01,6.701,
2006-04,7.167,
2006-07,7.534,
2006-10,6.720,
2007-01,7.239,
2007-04,7.757,
2007-07,7.720,
2007-10,11.229,
2008-01,10.970,
2008-04,10.552,
2008-07,13.054,
2008-10,17.308,
2009-01,15.056,
2009-04,14.801,
2009-07,22.777,
2009-10,15.253,
2010-01,14.643,
2010-04,21.523,
2010-07,15.938,
2010-10,15.844,
2011-01,15.148,
2011-04,19.610,
2011-07,25.985,
2011-10,28.719,
2012-01,20.910,
2012-04,27.053,
2012-07,28.977,
2012-10,24.499,
2013-01,25.015,
2013-04,23.835,
2013-07,8.014,
2013-10,8.062,
2014-01,8.619,
2014-04,9.018,
2014-07,8.161,
