"",BBFB1.Q.N.DE.FR.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.FR.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"",Financial account (excl. Reserve assets) / Net domestic investment abroad / France,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:15,
1991-01,-2759.444,
1991-04,348.588,
1991-07,334.013,
1991-10,5077.751,
1992-01,-455.277,
1992-04,525.215,
1992-07,-207.339,
1992-10,1711.912,
1993-01,3888.811,
1993-04,-420.162,
1993-07,-1657.318,
1993-10,5128.162,
1994-01,-4401.174,
1994-04,-562.410,
1994-07,1150.999,
1994-10,3804.339,
1995-01,-2667.689,
1995-04,3487.706,
1995-07,-2045.395,
1995-10,-3905.367,
1996-01,2302.753,
1996-04,1411.401,
1996-07,-3475.447,
1996-10,6024.296,
1997-01,4692.726,
1997-04,12783.475,
1997-07,-2146.199,
1997-10,10186.574,
1998-01,9236.763,
1998-04,3940.307,
1998-07,7691.585,
1998-10,8105.224,
1999-01,68545.127,
1999-04,43461.378,
1999-07,-60537.238,
1999-10,-3008.716,
2000-01,10520.330,
2000-04,10602.990,
2000-07,15693.673,
2000-10,-10705.890,
2001-01,15600.362,
2001-04,-2019.566,
2001-07,-6211.721,
2001-10,-858.739,
2002-01,20215.504,
2002-04,12821.209,
2002-07,7103.343,
2002-10,1473.289,
2003-01,13727.658,
2003-04,5598.798,
2003-07,10862.638,
2003-10,-3392.418,
2004-01,8357.915,
2004-04,3026.119,
2004-07,-1578.628,
2004-10,7132.383,
2005-01,8017.421,
2005-04,1398.116,
2005-07,-719.804,
2005-10,582.787,
2006-01,5610.761,
2006-04,11847.345,
2006-07,-204.234,
2006-10,-3044.286,
2007-01,36261.595,
2007-04,26604.224,
2007-07,18475.525,
2007-10,32480.199,
2008-01,44559.582,
2008-04,5711.007,
2008-07,2544.103,
2008-10,-23845.089,
2009-01,3001.357,
2009-04,12125.976,
2009-07,-71.680,
2009-10,-337.519,
2010-01,20030.997,
2010-04,32668.394,
2010-07,13486.546,
2010-10,9417.974,
2011-01,21973.374,
2011-04,21004.373,
2011-07,14820.140,
2011-10,-39931.853,
2012-01,24448.443,
2012-04,8428.678,
2012-07,8686.988,
2012-10,-2534.102,
2013-01,10328.540,
2013-04,7774.445,
2013-07,-5467.856,
2013-10,-5314.714,
2014-01,37337.731,Provisional value
2014-04,4709.549,Provisional value
2014-07,14757.256,Provisional value
2014-10,-10608.296,Provisional value
