"",BBK01.OEAC50M,BBK01.OEAC50M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:58,
2002-01,8.590,
2002-04,8.506,
2002-07,8.466,
2002-10,8.429,
2003-01,8.374,
2003-04,8.337,
2003-07,8.314,
2003-10,8.101,
2004-01,8.031,
2004-04,7.945,
2004-07,7.914,
2004-10,7.809,
2005-01,7.720,
2005-04,7.711,
2005-07,7.680,
2005-10,7.611,
2006-01,7.461,
2006-04,7.400,
2006-07,7.410,
2006-10,7.316,
2007-01,7.342,
2007-04,7.339,
2007-07,7.249,
2007-10,7.269,
2008-01,7.258,
2008-04,7.317,
2008-07,7.366,
2008-10,7.346,
2009-01,7.233,
2009-04,7.186,
2009-07,7.191,
2009-10,7.119,
2010-01,7.324,
2010-04,7.317,
2010-07,7.362,
2010-10,7.071,
2011-01,6.974,
2011-04,6.956,
2011-07,6.927,
2011-10,6.918,
2012-01,6.923,
2012-04,7.134,
2012-07,7.128,
2012-10,7.065,
2013-01,7.030,
2013-04,6.902,
2013-07,6.952,
2013-10,6.988,
2014-01,6.935,
2014-04,6.962,
2014-07,6.945,
