"",BBK01.OEAA21U,BBK01.OEAA21U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:47,
2002-01,5.821,
2002-04,5.891,
2002-07,5.893,
2002-10,5.994,
2003-01,5.858,
2003-04,5.874,
2003-07,5.898,
2003-10,5.934,
2004-01,5.942,
2004-04,5.475,
2004-07,5.550,
2004-10,5.567,
2005-01,5.459,
2005-04,5.369,
2005-07,5.362,
2005-10,5.382,
2006-01,5.349,
2006-04,5.380,
2006-07,5.474,
2006-10,5.552,
2007-01,5.593,
2007-04,5.691,
2007-07,5.751,
2007-10,5.927,
2008-01,5.947,
2008-04,6.054,
2008-07,6.140,
2008-10,6.175,
2009-01,6.131,
2009-04,6.277,
2009-07,6.329,
2009-10,6.498,
2010-01,6.614,
2010-04,6.778,
2010-07,6.926,
2010-10,7.023,
2011-01,7.125,
2011-04,7.297,
2011-07,7.395,
2011-10,7.452,
2012-01,7.483,
2012-04,7.601,
2012-07,7.687,
2012-10,7.761,
2013-01,7.847,
2013-04,8.049,
2013-07,8.132,
2013-10,8.329,
2014-01,8.504,
2014-04,8.872,
2014-07,8.704,
