"",BBFB1.Q.N.DE.SG.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.SG.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Singapore,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:20,
1991-01,365.708,
1991-04,-473.281,
1991-07,133.192,
1991-10,26.601,
1992-01,-48.281,
1992-04,87.467,
1992-07,-234.207,
1992-10,-69.696,
1993-01,416.736,
1993-04,29.754,
1993-07,39.661,
1993-10,-155.505,
1994-01,-201.517,
1994-04,-58.204,
1994-07,191.830,
1994-10,-226.248,
1995-01,693.760,
1995-04,-199.493,
1995-07,307.545,
1995-10,1199.202,
1996-01,1064.665,
1996-04,229.485,
1996-07,-383.420,
1996-10,25.613,
1997-01,341.064,
1997-04,518.211,
1997-07,23.052,
1997-10,-539.420,
1998-01,910.027,
1998-04,446.766,
1998-07,116.908,
1998-10,1300.071,
1999-01,-789.715,
1999-04,6970.457,
1999-07,567.871,
1999-10,4050.072,
2000-01,-1382.353,
2000-04,-1689.838,
2000-07,2214.892,
2000-10,-1911.300,
2001-01,5336.853,
2001-04,2683.648,
2001-07,2004.302,
2001-10,-8592.584,
2002-01,5232.369,
2002-04,-4065.686,
2002-07,818.524,
2002-10,-3920.592,
2003-01,892.462,
2003-04,-1089.103,
2003-07,-1601.404,
2003-10,170.803,
2004-01,-2517.999,
2004-04,-826.860,
2004-07,-1164.793,
2004-10,1582.257,
2005-01,-1367.164,
2005-04,-554.857,
2005-07,1024.755,
2005-10,-495.492,
2006-01,1100.320,
2006-04,-990.619,
2006-07,2443.290,
2006-10,1699.041,
2007-01,77.051,
2007-04,-825.502,
2007-07,1706.213,
2007-10,-2171.286,
2008-01,-489.186,
2008-04,1212.278,
2008-07,288.248,
2008-10,-1723.010,
2009-01,1780.466,
2009-04,-2091.210,
2009-07,71.296,
2009-10,-1741.221,
2010-01,3752.085,
2010-04,-238.824,
2010-07,-1140.090,
2010-10,-1343.967,
2011-01,-2318.673,
2011-04,-959.679,
2011-07,1794.759,
2011-10,-509.458,
2012-01,1651.384,
2012-04,111.805,
2012-07,-1471.479,
2012-10,1193.982,
2013-01,-566.650,
2013-04,294.279,
2013-07,-581.971,
2013-10,1035.994,
2014-01,875.178,Provisional value
2014-04,649.220,Provisional value
2014-07,-2264.026,Provisional value
2014-10,-527.048,Provisional value
