"",BBDA1.M.DE.Y.EX.S.GP09IS09.W1.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.GP09IS09.W1.A.V.ABA.A_FLAGS
"","German foreign trade: exports / At current prices, flows / Chemicals and chemical/pharmaceutical products (new: items 20+21) / Rest of the World / Calendar and seasonally adjusted",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 10:59:27,
2008-01,11.83,
2008-02,11.57,
2008-03,11.44,
2008-04,11.30,
2008-05,11.14,
2008-06,11.96,
2008-07,12.04,
2008-08,12.26,
2008-09,11.83,
2008-10,12.05,
2008-11,10.86,
2008-12,10.26,
2009-01,9.51,
2009-02,10.10,
2009-03,10.11,
2009-04,10.55,
2009-05,9.74,
2009-06,10.09,
2009-07,10.48,
2009-08,10.00,
2009-09,10.44,
2009-10,10.48,
2009-11,10.68,
2009-12,10.91,
2010-01,10.75,
2010-02,10.99,
2010-03,11.46,
2010-04,11.70,
2010-05,12.11,
2010-06,11.94,
2010-07,12.05,
2010-08,12.25,
2010-09,12.08,
2010-10,11.91,
2010-11,11.81,
2010-12,12.77,
2011-01,12.18,
2011-02,12.81,
2011-03,12.84,
2011-04,12.93,
2011-05,12.59,
2011-06,13.06,
2011-07,12.37,
2011-08,12.79,
2011-09,13.00,
2011-10,12.56,
2011-11,12.69,
2011-12,12.74,
2012-01,13.14,
2012-02,12.89,
2012-03,13.15,
2012-04,13.23,
2012-05,13.86,
2012-06,13.47,
2012-07,13.38,
2012-08,13.84,
2012-09,14.27,
2012-10,13.81,
2012-11,13.53,
2012-12,14.02,
2013-01,13.75,
2013-02,13.75,
2013-03,13.41,
2013-04,13.74,
2013-05,13.62,
2013-06,13.32,
2013-07,13.38,
2013-08,13.39,
2013-09,13.60,
2013-10,14.22,
2013-11,14.20,
2013-12,13.82,
2014-01,14.36,
2014-02,13.97,
2014-03,14.01,
2014-04,14.10,
2014-05,14.34,
2014-06,13.99,
2014-07,14.15,
2014-08,15.01,
2014-09,14.51,
2014-10,14.48,
2014-11,14.73,
2014-12,15.28,
