"",BBK01.OEAF16K,BBK01.OEAF16K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:03,
2002-01,0.539,
2002-04,0.520,
2002-07,0.515,
2002-10,0.291,
2003-01,0.307,
2003-04,0.290,
2003-07,0.288,
2003-10,0.251,
2004-01,0.244,
2004-04,0.240,
2004-07,0.229,
2004-10,0.237,
2005-01,0.522,
2005-04,0.563,
2005-07,0.559,
2005-10,0.592,
2006-01,0.610,
2006-04,0.635,
2006-07,0.641,
2006-10,0.669,
2007-01,0.639,
2007-04,0.621,
2007-07,0.555,
2007-10,0.399,
2008-01,0.402,
2008-04,0.608,
2008-07,0.603,
2008-10,0.629,
2009-01,0.589,
2009-04,0.571,
2009-07,0.554,
2009-10,0.724,
2010-01,0.701,
2010-04,0.947,
2010-07,0.606,
2010-10,0.472,
2011-01,0.493,
2011-04,0.477,
2011-07,0.465,
2011-10,0.497,
2012-01,0.562,
2012-04,0.505,
2012-07,0.313,
2012-10,0.358,
2013-01,0.401,
2013-04,0.384,
2013-07,0.352,
2013-10,0.412,
2014-01,0.459,
2014-04,0.442,
2014-07,0.409,
