"",BBK01.OEXI08P,BBK01.OEXI08P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:16,
2002-01,0.224,
2002-04,0.227,
2002-07,0.221,
2002-10,0.227,
2003-01,0.235,
2003-04,0.252,
2003-07,0.269,
2003-10,0.269,
2004-01,0.258,
2004-04,0.255,
2004-07,0.245,
2004-10,0.257,
2005-01,0.264,
2005-04,0.270,
2005-07,0.284,
2005-10,0.305,
2006-01,0.306,
2006-04,0.303,
2006-07,0.297,
2006-10,0.295,
2007-01,0.290,
2007-04,0.291,
2007-07,0.302,
2007-10,0.314,
2008-01,0.319,
2008-04,0.311,
2008-07,0.301,
2008-10,0.307,
2009-01,0.304,
2009-04,0.301,
2009-07,0.326,
2009-10,0.354,
2010-01,0.369,
2010-04,0.359,
2010-07,0.366,
2010-10,0.399,
2011-01,0.361,
2011-04,0.334,
2011-07,0.324,
2011-10,0.330,
2012-01,0.331,
2012-04,0.326,
2012-07,0.328,
2012-10,0.332,
2013-01,0.324,
2013-04,0.321,
2013-07,0.321,
2013-10,0.322,
2014-01,0.311,
2014-04,0.304,
2014-07,0.299,
