"",BBK01.CEL901,BBK01.CEL901_FLAGS
"",Non-MMF investment fund shares debtor: Total                                   creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:46:34,
1999-01,2.5,
1999-04,3.0,
1999-07,2.1,
1999-10,3.1,
2000-01,2.0,
2000-04,-0.5,
2000-07,0.1,
2000-10,1.7,
2001-01,0.5,
2001-04,0.6,
2001-07,1.7,
2001-10,1.1,
2002-01,0.6,
2002-04,0.8,
2002-07,2.0,
2002-10,-3.5,
2003-01,2.2,
2003-04,2.7,
2003-07,4.1,
2003-10,4.5,
2004-01,2.4,
2004-04,2.8,
2004-07,0.7,
2004-10,2.7,
2005-01,2.3,
2005-04,1.7,
2005-07,-0.5,
2005-10,1.4,
2006-01,1.4,
2006-04,0.4,
2006-07,14.1,
2006-10,6.5,
2007-01,2.6,
2007-04,-14.7,
2007-07,0.1,
2007-10,8.6,
2008-01,-4.8,
2008-04,-12.3,
2008-07,-0.9,
2008-10,-4.1,
2009-01,-2.6,
2009-04,-2.4,
2009-07,0.7,
2009-10,1.7,
2010-01,1.5,
2010-04,0.4,
2010-07,7.6,
2010-10,-0.7,
2011-01,0.8,
2011-04,1.7,
2011-07,1.4,
2011-10,4.0,
2012-01,-5.1,
2012-04,1.0,
2012-07,0.7,
2012-10,3.2,
2013-01,3.7,
2013-04,0.3,
2013-07,1.2,
2013-10,2.6,
2014-01,0.7,
2014-04,-2.0,
2014-07,1.1,
