"",BBK01.CEL709,BBK01.CEL709_FLAGS
"",Other accounts receivable                                              debtor: Total            creditor: Investment fund shares,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:49:04,
1999-01,-1.5,
1999-04,2.8,
1999-07,3.8,
1999-10,-5.1,
2000-01,-1.4,
2000-04,3.3,
2000-07,4.3,
2000-10,-6.1,
2001-01,-1.9,
2001-04,3.3,
2001-07,3.9,
2001-10,-5.1,
2002-01,-1.9,
2002-04,3.4,
2002-07,4.3,
2002-10,-5.3,
2003-01,-1.5,
2003-04,3.0,
2003-07,4.4,
2003-10,-5.2,
2004-01,-2.1,
2004-04,3.2,
2004-07,4.2,
2004-10,-4.2,
2005-01,-0.8,
2005-04,3.7,
2005-07,2.9,
2005-10,-5.2,
2006-01,-1.6,
2006-04,3.9,
2006-07,4.1,
2006-10,-5.9,
2007-01,-1.5,
2007-04,5.6,
2007-07,3.6,
2007-10,-6.0,
2008-01,-2.2,
2008-04,5.9,
2008-07,5.1,
2008-10,-4.8,
2009-01,-1.2,
2009-04,4.7,
2009-07,3.5,
2009-10,-3.3,
2010-01,11.6,
2010-04,-28.8,
2010-07,24.5,
2010-10,0.9,
2011-01,-3.9,
2011-04,-15.4,
2011-07,-12.7,
2011-10,25.3,
2012-01,12.2,
2012-04,-14.8,
2012-07,39.0,
2012-10,-18.8,
2013-01,3.4,
2013-04,0.5,
2013-07,-4.7,
2013-10,7.4,
2014-01,1.2,
2014-04,-2.3,
2014-07,11.1,
