"",BBK01.OEHO01H,BBK01.OEHO01H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:53,
2002-01,50.881,
2002-04,50.496,
2002-07,49.980,
2002-10,49.681,
2003-01,51.096,
2003-04,50.933,
2003-07,50.544,
2003-10,50.333,
2004-01,51.579,
2004-04,51.413,
2004-07,51.107,
2004-10,51.017,
2005-01,52.213,
2005-04,52.062,
2005-07,51.528,
2005-10,51.180,
2006-01,52.023,
2006-04,51.629,
2006-07,51.124,
2006-10,50.426,
2007-01,50.509,
2007-04,48.975,
2007-07,47.642,
2007-10,46.474,
2008-01,46.188,
2008-04,44.532,
2008-07,42.994,
2008-10,41.432,
2009-01,41.336,
2009-04,42.384,
2009-07,43.722,
2009-10,44.802,
2010-01,46.710,
2010-04,47.875,
2010-07,48.465,
2010-10,48.947,
2011-01,49.909,
2011-04,50.233,
2011-07,50.129,
2011-10,49.691,
2012-01,49.922,
2012-04,49.629,
2012-07,49.457,
2012-10,49.448,
2013-01,49.837,
2013-04,49.798,
2013-07,49.328,
2013-10,48.694,
2014-01,49.004,
2014-04,48.693,
2014-07,48.301,
