"",BBK01.OEAD22N,BBK01.OEAD22N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:31,
2002-01,0.399,
2002-04,0.393,
2002-07,0.369,
2002-10,0.383,
2003-01,0.371,
2003-04,0.278,
2003-07,0.264,
2003-10,0.197,
2004-01,0.205,
2004-04,0.200,
2004-07,0.196,
2004-10,0.145,
2005-01,0.125,
2005-04,0.146,
2005-07,0.151,
2005-10,0.293,
2006-01,0.267,
2006-04,0.612,
2006-07,0.697,
2006-10,0.805,
2007-01,1.402,
2007-04,1.200,
2007-07,1.088,
2007-10,0.552,
2008-01,0.591,
2008-04,0.583,
2008-07,0.591,
2008-10,0.476,
2009-01,0.570,
2009-04,0.633,
2009-07,0.700,
2009-10,0.623,
2010-01,0.462,
2010-04,0.506,
2010-07,0.518,
2010-10,0.443,
2011-01,0.373,
2011-04,0.363,
2011-07,0.339,
2011-10,0.358,
2012-01,0.431,
2012-04,0.542,
2012-07,0.675,
2012-10,0.706,
2013-01,0.640,
2013-04,0.559,
2013-07,0.527,
2013-10,0.541,
2014-01,0.550,
2014-04,0.522,
2014-07,0.514,
