"",BBSF2.M.1.S.I1250.IMM01.I.F.MAK.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1250.IMM01.I.F.MAK.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Real estate funds / Net sales receipts / Insurance corporations / Distribution and cumulative funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:52:11,
1993-04,17,
1993-05,3,
1993-06,-,Nothing exists
1993-07,52,
1993-08,31,
1993-09,15,
1993-10,-,Nothing exists
1993-11,5,
1993-12,11,
1994-01,23,
1994-02,2,
1994-03,-,Nothing exists
1994-04,-48,
1994-05,2,
1994-06,-3,
1994-07,-,Nothing exists
1994-08,-,Nothing exists
1994-09,-,Nothing exists
1994-10,0,
1994-11,6,
1994-12,-,Nothing exists
1995-01,5,
1995-02,-,Nothing exists
1995-03,-,Nothing exists
1995-04,4,
1995-05,9,
1995-06,19,
1995-07,1,
1995-08,34,
1995-09,9,
1995-10,5,
1995-11,12,
1995-12,42,
1996-01,11,
1996-02,5,
1996-03,-,Nothing exists
1996-04,9,
1996-05,16,
1996-06,2,
1996-07,-,Nothing exists
1996-08,-,Nothing exists
1996-09,10,
1996-10,10,
1996-11,-,Nothing exists
1996-12,5,
1997-01,-,Nothing exists
1997-02,10,
1997-03,-,Nothing exists
1997-04,33,
1997-05,3,
1997-06,87,
1997-07,-,Nothing exists
1997-08,8,
1997-09,13,
1997-10,17,
1997-11,-,Nothing exists
1997-12,61,
1998-01,192,
1998-02,-,Nothing exists
1998-03,9,
1998-04,79,
1998-05,10,
1998-06,60,
1998-07,8,
1998-08,-8,
1998-09,24,
1998-10,7,
1998-11,33,
1998-12,215,
1999-01,108,
1999-02,8,
1999-03,5,
1999-04,21,
1999-05,29,
1999-06,16,
1999-07,37,
1999-08,30,
1999-09,293,
1999-10,239,
1999-11,159,
1999-12,310,
2000-01,89,
2000-02,-34,
2000-03,39,
2000-04,57,
2000-05,117,
2000-06,42,
2000-07,101,
2000-08,27,
2000-09,9,
2000-10,161,
2000-11,192,
2000-12,253,
2001-01,125,
2001-02,72,
2001-03,-,Nothing exists
2001-04,200,
2001-05,45,
2001-06,67,
2001-07,69,
2001-08,137,
2001-09,147,
2001-10,88,
2001-11,256,
2001-12,648,
2002-01,87,
2002-02,127,
2002-03,130,
2002-04,45,
2002-05,144,
2002-06,78,
2002-07,233,
2002-08,416,
2002-09,178,
2002-10,137,
2002-11,119,
2002-12,881,
2003-01,160,
2003-02,17,
2003-03,39,
2003-04,91,
2003-05,86,
2003-06,85,
2003-07,16,
2003-08,40,
2003-09,142,
2003-10,42,
2003-11,34,
2003-12,53,
2004-01,60,
2004-02,-11,
2004-03,37,
2004-04,-,Nothing exists
2004-05,-57,
2004-06,120,
2004-07,134,
2004-08,-2,
2004-09,17,
2004-10,6,
2004-11,91,
2004-12,810,
2005-01,24,
2005-02,42,
2005-03,612,
2005-04,73,
2005-05,221,
2005-06,155,
2005-07,-73,
2005-08,64,
2005-09,81,
2005-10,75,
2005-11,42,
2005-12,185,
2006-01,28,
2006-02,-1,
2006-03,42,
2006-04,31,
2006-05,48,
2006-06,123,
2006-07,-54,
2006-08,-45,
2006-09,186,
2006-10,30,
2006-11,39,
2006-12,422,
2007-01,17,
2007-02,-42,
2007-03,-446,
2007-04,-19,
2007-05,-90,
2007-06,25,
2007-07,8,
2007-08,77,
2007-09,-27,
2007-10,52,
2007-11,200,
2007-12,320,
2008-01,62,
2008-02,119,
2008-03,-23,
2008-04,89,
2008-05,39,
2008-06,32,
2008-07,-33,
2008-08,106,
2008-09,94,
2008-10,113,
2008-11,637,
2008-12,137,
2009-01,730,
2009-02,22,
2009-03,37,
2009-04,54,
2009-05,157,
2009-06,16,
2009-07,17,
2009-08,5,
2009-09,148,
2009-10,19,
2009-11,79,
2009-12,318,
2010-01,88,
2010-02,-13,
2010-03,27,
2010-04,-31,
2010-05,72,
2010-06,13,
2010-07,32,
2010-08,148,
2010-09,35,
2010-10,29,
2010-11,139,
2010-12,-22,
2011-01,8,
2011-02,115,
2011-03,104,
2011-04,-12,
2011-05,113,
2011-06,12,
2011-07,0,
2011-08,-49,
2011-09,59,
2011-10,25,
2011-11,-10,
2011-12,134,
2012-01,43,
2012-02,-5,
2012-03,43,
2012-04,-7,
2012-05,2,
2012-06,167,
2012-07,38,
2012-08,-9,
2012-09,26,
2012-10,47,
2012-11,27,
2012-12,147,
2013-01,137,
2013-02,52,
2013-03,303,
2013-04,9,
2013-05,-381,
2013-06,154,
2013-07,199,
2013-08,106,
2013-09,-73,
2013-10,64,
2013-11,131,
2013-12,144,
2014-01,13,
2014-02,-53,
2014-03,74,
2014-04,-18,
2014-05,-111,
2014-06,225,
2014-07,122,
2014-08,-85,
2014-09,-8,
2014-10,283,
2014-11,102,
