"",BBK01.OEAL05G,BBK01.OEAL05G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:21,
2002-01,48.411,
2002-04,48.591,
2002-07,48.686,
2002-10,50.462,
2003-01,50.962,
2003-04,51.226,
2003-07,51.604,
2003-10,53.395,
2004-01,54.245,
2004-04,54.570,
2004-07,54.902,
2004-10,56.840,
2005-01,55.465,
2005-04,55.742,
2005-07,55.877,
2005-10,57.721,
2006-01,58.202,
2006-04,58.182,
2006-07,58.142,
2006-10,59.256,
2007-01,59.103,
2007-04,58.530,
2007-07,57.889,
2007-10,58.392,
2008-01,57.736,
2008-04,56.859,
2008-07,55.886,
2008-10,55.871,
2009-01,56.031,
2009-04,56.539,
2009-07,57.054,
2009-10,59.232,
2010-01,62.428,
2010-04,63.127,
2010-07,63.947,
2010-10,66.064,
2011-01,70.348,
2011-04,70.848,
2011-07,71.263,
2011-10,73.039,
2012-01,73.278,
2012-04,73.564,
2012-07,73.954,
2012-10,74.797,
2013-01,76.162,
2013-04,76.837,
2013-07,76.673,
2013-10,78.185,
2014-01,79.251,
2014-04,79.786,
2014-07,80.481,
