"",BBK01.OEAD37G,BBK01.OEAD37G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:40,
2002-01,1.856,
2002-04,1.836,
2002-07,1.803,
2002-10,1.788,
2003-01,1.719,
2003-04,1.682,
2003-07,1.642,
2003-10,1.628,
2004-01,1.570,
2004-04,1.545,
2004-07,1.496,
2004-10,1.445,
2005-01,1.404,
2005-04,1.428,
2005-07,1.395,
2005-10,1.416,
2006-01,1.367,
2006-04,1.365,
2006-07,1.447,
2006-10,1.444,
2007-01,1.432,
2007-04,1.564,
2007-07,1.593,
2007-10,1.699,
2008-01,1.722,
2008-04,1.766,
2008-07,1.788,
2008-10,1.621,
2009-01,1.369,
2009-04,1.387,
2009-07,1.359,
2009-10,1.299,
2010-01,1.404,
2010-04,1.400,
2010-07,1.395,
2010-10,1.380,
2011-01,1.357,
2011-04,1.354,
2011-07,1.352,
2011-10,1.387,
2012-01,1.356,
2012-04,1.325,
2012-07,1.378,
2012-10,1.438,
2013-01,1.356,
2013-04,1.410,
2013-07,1.466,
2013-10,1.517,
2014-01,1.507,
2014-04,1.499,
2014-07,1.483,
