"",BBK01.OEHL01T,BBK01.OEHL01T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:31,
2002-01,13.405,
2002-04,13.346,
2002-07,13.394,
2002-10,13.728,
2003-01,13.735,
2003-04,13.608,
2003-07,13.545,
2003-10,13.795,
2004-01,13.816,
2004-04,13.693,
2004-07,13.589,
2004-10,13.804,
2005-01,13.736,
2005-04,13.625,
2005-07,13.535,
2005-10,13.738,
2006-01,13.715,
2006-04,13.616,
2006-07,13.543,
2006-10,13.651,
2007-01,13.614,
2007-04,13.555,
2007-07,13.545,
2007-10,13.774,
2008-01,13.710,
2008-04,13.650,
2008-07,13.547,
2008-10,13.897,
2009-01,13.901,
2009-04,13.916,
2009-07,13.892,
2009-10,14.214,
2010-01,14.299,
2010-04,14.361,
2010-07,14.369,
2010-10,14.616,
2011-01,14.608,
2011-04,14.605,
2011-07,14.570,
2011-10,14.755,
2012-01,14.778,
2012-04,14.815,
2012-07,14.852,
2012-10,15.040,
2013-01,15.138,
2013-04,15.213,
2013-07,15.245,
2013-10,15.402,
2014-01,15.480,
2014-04,15.522,
2014-07,15.576,
