"",BBK01.OECB14Q,BBK01.OECB14Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:30,
2002-01,0.135,
2002-04,0.140,
2002-07,0.141,
2002-10,0.157,
2003-01,0.142,
2003-04,0.133,
2003-07,0.136,
2003-10,0.123,
2004-01,0.123,
2004-04,0.107,
2004-07,0.096,
2004-10,0.259,
2005-01,0.261,
2005-04,0.252,
2005-07,0.249,
2005-10,0.251,
2006-01,0.238,
2006-04,0.216,
2006-07,0.198,
2006-10,0.189,
2007-01,0.186,
2007-04,0.184,
2007-07,0.163,
2007-10,0.171,
2008-01,0.170,
2008-04,0.168,
2008-07,0.153,
2008-10,0.149,
2009-01,0.147,
2009-04,0.125,
2009-07,0.114,
2009-10,0.111,
2010-01,0.117,
2010-04,0.116,
2010-07,0.112,
2010-10,0.114,
2011-01,0.114,
2011-04,0.121,
2011-07,0.109,
2011-10,0.106,
2012-01,0.110,
2012-04,0.119,
2012-07,0.098,
2012-10,0.095,
2013-01,0.101,
2013-04,0.104,
2013-07,0.100,
2013-10,0.085,
2014-01,0.087,
2014-04,0.090,
2014-07,0.089,
