"",BBK01.OECI05O,BBK01.OECI05O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:48,
2002-01,0.075,
2002-04,0.078,
2002-07,0.079,
2002-10,0.083,
2003-01,0.085,
2003-04,0.084,
2003-07,0.084,
2003-10,0.080,
2004-01,0.075,
2004-04,0.076,
2004-07,0.074,
2004-10,0.071,
2005-01,0.469,
2005-04,0.487,
2005-07,0.468,
2005-10,0.434,
2006-01,0.419,
2006-04,0.417,
2006-07,0.419,
2006-10,0.416,
2007-01,0.412,
2007-04,0.411,
2007-07,0.410,
2007-10,0.408,
2008-01,0.406,
2008-04,0.405,
2008-07,0.417,
2008-10,0.441,
2009-01,0.436,
2009-04,0.444,
2009-07,0.459,
2009-10,0.444,
2010-01,0.449,
2010-04,0.478,
2010-07,0.479,
2010-10,0.462,
2011-01,0.464,
2011-04,0.446,
2011-07,0.429,
2011-10,0.437,
2012-01,0.438,
2012-04,0.442,
2012-07,0.437,
2012-10,0.428,
2013-01,0.418,
2013-04,0.406,
2013-07,0.413,
2013-10,0.399,
2014-01,0.394,
2014-04,0.380,
2014-07,0.362,
