"",BBFN1.M.DE.N.1.A.AT.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.AT.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on foreign banks arising from financial operations / Total / Austria,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:12:04,
1975-12,0.013,
1976-01,0.012,
1976-02,0.013,
1976-03,0.010,
1976-04,0.011,
1976-05,0.011,
1976-06,0.012,
1976-07,0.018,
1976-08,0.012,
1976-09,0.019,
1976-10,0.018,
1976-11,0.019,
1976-12,0.024,
1977-01,0.014,
1977-02,0.013,
1977-03,0.012,
1977-04,0.014,
1977-05,0.015,
1977-06,0.014,
1977-07,0.014,
1977-08,0.014,
1977-09,0.013,
1977-10,0.013,
1977-11,0.014,
1977-12,0.019,
1978-01,0.015,
1978-02,0.017,
1978-03,0.018,
1978-04,0.014,
1978-05,0.024,
1978-06,0.034,
1978-07,0.019,
1978-08,0.019,
1978-09,0.016,
1978-10,0.019,
1978-11,0.018,
1978-12,0.026,
1979-01,0.027,
1979-02,0.030,
1979-03,0.036,
1979-04,0.036,
1979-05,0.037,
1979-06,0.038,
1979-07,0.021,
1979-08,0.020,
1979-09,0.020,
1979-10,0.018,
1979-11,0.016,
1979-12,0.017,
1980-01,0.016,
1980-02,0.016,
1980-03,0.016,
1980-04,0.015,
1980-05,0.013,
1980-06,0.017,
1980-07,0.024,
1980-08,0.034,
1980-09,0.033,
1980-10,0.046,
1980-11,0.048,
1980-12,0.043,
1981-01,0.032,
1981-02,0.034,
1981-03,0.037,
1981-04,0.031,
1981-05,0.026,
1981-06,0.033,
1981-07,0.030,
1981-08,0.031,
1981-09,0.039,
1981-10,0.042,
1981-11,0.041,
1981-12,0.047,
1982-01,0.037,
1982-02,0.038,
1982-03,0.036,
1982-04,0.039,
1982-05,0.038,
1982-06,0.032,
1982-07,0.038,
1982-08,0.040,
1982-09,0.035,
1982-10,0.038,
1982-11,0.085,
1982-12,0.039,
1983-01,0.043,
1983-02,0.046,
1983-03,0.042,
1983-04,0.040,
1983-05,0.036,
1983-06,0.034,
1983-07,0.040,
1983-08,0.038,
1983-09,0.040,
1983-10,0.037,
1983-11,0.031,
1983-12,0.041,
1984-01,0.040,
1984-02,0.043,
1984-03,0.044,
1984-04,0.047,
1984-05,0.066,
1984-06,0.078,
1984-07,0.055,
1984-08,0.071,
1984-09,0.042,
1984-10,0.039,
1984-11,0.034,
1984-12,0.043,
1985-01,0.055,
1985-02,0.039,
1985-03,0.043,
1985-04,0.043,
1985-05,0.044,
1985-06,0.043,
1985-07,0.036,
1985-08,0.073,
1985-09,0.048,
1985-10,0.068,
1985-11,0.074,
1985-12,0.071,
1986-01,0.104,
1986-02,0.105,
1986-03,0.106,
1986-04,0.120,
1986-05,0.137,
1986-06,0.155,
1986-07,0.104,
1986-08,0.111,
1986-09,0.073,
1986-10,0.125,
1986-11,0.114,
1986-12,0.118,
1987-01,0.103,
1987-02,0.104,
1987-03,0.074,
1987-04,0.125,
1987-05,0.116,
1987-06,0.095,
1987-07,0.107,
1987-08,0.122,
1987-09,0.128,
1987-10,0.150,
1987-11,0.170,
1987-12,0.155,
1988-01,0.141,
1988-02,0.172,
1988-03,0.237,
1988-04,0.209,
1988-05,0.222,
1988-06,0.168,
1988-07,0.205,
1988-08,0.221,
1988-09,0.279,
1988-10,0.231,
1988-11,0.211,
1988-12,0.176,
1989-01,0.163,
1989-02,0.139,
1989-03,0.144,
1989-04,0.202,
1989-05,0.247,
1989-06,0.198,
1989-07,0.271,
1989-08,0.282,
1989-09,0.289,
1989-10,0.265,
1989-11,0.325,
1989-12,0.289,
1990-01,0.211,
1990-02,0.248,
1990-03,0.256,
1990-04,0.268,
1990-05,0.336,
1990-06,0.309,
1990-07,0.435,
1990-08,0.464,
1990-09,0.531,
1990-10,0.440,
1990-11,0.450,
1990-12,0.308,
1991-01,0.467,
1991-02,0.573,
1991-03,0.701,
1991-04,0.726,
1991-05,0.919,
1991-06,0.922,
1991-07,1.134,
1991-08,1.033,
1991-09,0.932,
1991-10,1.089,
1991-11,1.003,
1991-12,0.323,
1992-01,0.305,
1992-02,0.285,
1992-03,0.361,
1992-04,0.370,
1992-05,0.335,
1992-06,0.424,
1992-07,0.627,
1992-08,0.686,
1992-09,0.674,
1992-10,0.672,
1992-11,0.544,
1992-12,0.240,
1993-01,0.241,
1993-02,0.289,
1993-03,0.280,
1993-04,0.269,
1993-05,0.342,
1993-06,0.338,
1993-07,0.321,
1993-08,0.295,
1993-09,0.356,
1993-10,0.395,
