"",BBFN1.M.DE.N.1.A.IT.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.IT.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on non-residents arising from financial operations / Total / Italy,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:10:49,
1975-12,0.102,
1976-01,0.104,
1976-02,0.113,
1976-03,0.109,
1976-04,0.115,
1976-05,0.120,
1976-06,0.122,
1976-07,0.123,
1976-08,0.127,
1976-09,0.129,
1976-10,0.119,
1976-11,0.130,
1976-12,0.054,
1977-01,0.060,
1977-02,0.063,
1977-03,0.062,
1977-04,0.056,
1977-05,0.058,
1977-06,0.057,
1977-07,0.061,
1977-08,0.055,
1977-09,0.057,
1977-10,0.054,
1977-11,0.055,
1977-12,0.051,
1978-01,0.050,
1978-02,0.075,
1978-03,0.080,
1978-04,0.077,
1978-05,0.084,
1978-06,0.082,
1978-07,0.080,
1978-08,0.074,
1978-09,0.080,
1978-10,0.073,
1978-11,0.076,
1978-12,0.072,
1979-01,0.069,
1979-02,0.074,
1979-03,0.077,
1979-04,0.082,
1979-05,0.091,
1979-06,0.086,
1979-07,0.071,
1979-08,0.078,
1979-09,0.075,
1979-10,0.067,
1979-11,0.067,
1979-12,0.067,
1980-01,0.076,
1980-02,0.078,
1980-03,0.095,
1980-04,0.086,
1980-05,0.095,
1980-06,0.089,
1980-07,0.099,
1980-08,0.092,
1980-09,0.085,
1980-10,0.085,
1980-11,0.086,
1980-12,0.078,
1981-01,0.085,
1981-02,0.093,
1981-03,0.092,
1981-04,0.113,
1981-05,0.120,
1981-06,0.121,
1981-07,0.116,
1981-08,0.131,
1981-09,0.124,
1981-10,0.132,
1981-11,0.132,
1981-12,0.173,
1982-01,0.165,
1982-02,0.184,
1982-03,0.159,
1982-04,0.150,
1982-05,0.132,
1982-06,0.138,
1982-07,0.142,
1982-08,0.141,
1982-09,0.142,
1982-10,0.130,
1982-11,0.133,
1982-12,0.117,
1983-01,0.111,
1983-02,0.137,
1983-03,0.122,
1983-04,0.122,
1983-05,0.140,
1983-06,0.155,
1983-07,0.157,
1983-08,0.159,
1983-09,0.146,
1983-10,0.142,
1983-11,0.131,
1983-12,0.135,
1984-01,0.139,
1984-02,0.150,
1984-03,0.147,
1984-04,0.159,
1984-05,0.172,
1984-06,0.188,
1984-07,0.181,
1984-08,0.195,
1984-09,0.192,
1984-10,0.170,
1984-11,0.198,
1984-12,0.199,
1985-01,0.209,
1985-02,0.220,
1985-03,0.217,
1985-04,0.221,
1985-05,0.226,
1985-06,0.237,
1985-07,0.242,
1985-08,0.208,
1985-09,0.216,
1985-10,0.221,
1985-11,0.248,
1985-12,0.245,
1986-01,0.276,
1986-02,0.275,
1986-03,0.277,
1986-04,0.322,
1986-05,0.342,
1986-06,0.315,
1986-07,0.341,
1986-08,0.308,
1986-09,0.301,
1986-10,0.274,
1986-11,0.309,
1986-12,0.271,
1987-01,0.295,
1987-02,0.314,
1987-03,0.291,
1987-04,0.335,
1987-05,0.257,
1987-06,0.305,
1987-07,0.399,
1987-08,0.405,
1987-09,0.336,
1987-10,0.291,
1987-11,0.311,
1987-12,0.278,
1988-01,0.296,
1988-02,0.357,
1988-03,0.351,
1988-04,0.366,
1988-05,0.401,
1988-06,0.500,
1988-07,0.489,
1988-08,0.452,
1988-09,0.492,
1988-10,0.506,
1988-11,0.547,
1988-12,0.488,
1989-01,0.468,
1989-02,0.434,
1989-03,0.460,
1989-04,0.431,
1989-05,0.491,
1989-06,0.589,
1989-07,0.676,
1989-08,0.647,
1989-09,0.751,
1989-10,0.904,
1989-11,0.813,
1989-12,0.844,
1990-01,0.876,
1990-02,1.055,
1990-03,1.068,
1990-04,1.066,
1990-05,1.047,
1990-06,0.881,
1990-07,0.837,
1990-08,0.875,
1990-09,0.954,
1990-10,0.954,
1990-11,1.044,
1990-12,1.019,
1991-01,1.005,
1991-02,1.063,
1991-03,1.233,
1991-04,1.258,
1991-05,1.224,
1991-06,1.473,
1991-07,1.287,
1991-08,1.534,
1991-09,1.346,
1991-10,1.431,
1991-11,1.301,
1991-12,1.203,
1992-01,1.304,
1992-02,1.399,
1992-03,1.488,
1992-04,1.627,
1992-05,1.634,
1992-06,1.416,
1992-07,1.446,
1992-08,1.438,
1992-09,1.625,
1992-10,1.556,
1992-11,1.825,
1992-12,1.205,
1993-01,1.324,
1993-02,1.194,
1993-03,1.274,
1993-04,0.964,
1993-05,1.029,
1993-06,1.015,
1993-07,1.274,
1993-08,1.441,
1993-09,1.610,
1993-10,1.729,
1993-11,1.627,
1993-12,1.264,
1994-01,1.512,
1994-02,1.631,
1994-03,1.533,
1994-04,1.435,
1994-05,1.394,
1994-06,1.650,
1994-07,1.759,
1994-08,2.040,
1994-09,1.518,
1994-10,1.697,
1994-11,1.414,
1994-12,1.767,
1995-01,1.854,
1995-02,1.429,
1995-03,1.386,
1995-04,1.351,
1995-05,1.243,
1995-06,1.558,
1995-07,1.492,
1995-08,1.426,
1995-09,1.454,
1995-10,1.574,
1995-11,1.428,
1995-12,1.370,
1996-01,1.486,
1996-02,1.636,
1996-03,1.707,
1996-04,1.585,
1996-05,1.530,
1996-06,2.029,
1996-07,2.073,
1996-08,1.944,
1996-09,2.199,
1996-10,1.896,
1996-11,1.789,
1996-12,2.284,
1997-01,2.239,
1997-02,2.171,
1997-03,2.282,
1997-04,2.319,
1997-05,2.245,
1997-06,2.361,
1997-07,2.427,
1997-08,2.470,
1997-09,2.132,
1997-10,2.385,
1997-11,2.282,
1997-12,2.092,
1998-01,2.303,
1998-02,2.453,
1998-03,2.641,
1998-04,3.346,
1998-05,3.667,
1998-06,3.743,
1998-07,3.709,
1998-08,3.403,
1998-09,3.280,
1998-10,3.404,
1998-11,3.368,
1998-12,3.222,
1999-01,3.085,
1999-02,3.050,
1999-03,3.129,
1999-04,3.391,
1999-05,3.258,
1999-06,3.444,
1999-07,3.258,
1999-08,3.400,
1999-09,4.148,
1999-10,4.222,
1999-11,4.507,
1999-12,4.632,
2000-01,5.707,
2000-02,4.704,
2000-03,4.298,
2000-04,4.505,
2000-05,4.417,
2000-06,4.683,
2000-07,4.584,
2000-08,4.563,
2000-09,5.147,
2000-10,5.296,
2000-11,5.141,
2000-12,5.228,
2001-01,5.404,
2001-02,5.361,
2001-03,5.559,
