"",BBK01.OEHO01J,BBK01.OEHO01J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:23,
2002-01,3.727,
2002-04,3.728,
2002-07,3.715,
2002-10,3.739,
2003-01,3.862,
2003-04,3.916,
2003-07,3.931,
2003-10,3.941,
2004-01,4.037,
2004-04,4.099,
2004-07,4.551,
2004-10,4.171,
2005-01,4.333,
2005-04,4.372,
2005-07,4.392,
2005-10,4.399,
2006-01,4.523,
2006-04,4.532,
2006-07,4.501,
2006-10,4.487,
2007-01,4.478,
2007-04,4.357,
2007-07,4.314,
2007-10,4.210,
2008-01,4.202,
2008-04,4.039,
2008-07,3.859,
2008-10,3.702,
2009-01,3.763,
2009-04,3.790,
2009-07,3.740,
2009-10,3.675,
2010-01,3.684,
2010-04,3.650,
2010-07,3.600,
2010-10,3.552,
2011-01,3.530,
2011-04,3.490,
2011-07,3.457,
2011-10,3.424,
2012-01,3.442,
2012-04,3.457,
2012-07,3.468,
2012-10,3.490,
2013-01,3.543,
2013-04,3.590,
2013-07,3.590,
2013-10,3.608,
2014-01,3.657,
2014-04,3.675,
2014-07,3.672,
