"",BBDA1.M.DE.Y.IM.S.A.R5.A.V.ABA.A,BBDA1.M.DE.Y.IM.S.A.R5.A.V.ABA.A_FLAGS
"","Germany / Imports / At current prices, flows / Aggregate / all goods / OPEC (Organization of Petroleum Exporting Countries) / At current prices, flows / Calendar and seasonally adjusted",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 10:59:35,
1990-07,0.46,
1990-08,0.57,
1990-09,0.53,
1990-10,0.60,
1990-11,0.78,
1990-12,0.77,
1991-01,0.64,
1991-02,0.54,
1991-03,0.49,
1991-04,0.48,
1991-05,0.67,
1991-06,0.54,
1991-07,0.58,
1991-08,0.57,
1991-09,0.58,
1991-10,0.63,
1991-11,0.65,
1991-12,0.51,
1992-01,0.54,
1992-02,0.57,
1992-03,0.60,
1992-04,0.62,
1992-05,0.58,
1992-06,0.58,
1992-07,0.51,
1992-08,0.60,
1992-09,0.57,
1992-10,0.55,
1992-11,0.55,
1992-12,0.48,
1993-01,0.51,
1993-02,0.50,
1993-03,0.50,
1993-04,0.52,
1993-05,0.49,
1993-06,0.53,
1993-07,0.53,
1993-08,0.49,
1993-09,0.44,
1993-10,0.48,
1993-11,0.46,
1993-12,0.43,
1994-01,0.46,
1994-02,0.38,
1994-03,0.43,
1994-04,0.48,
1994-05,0.42,
1994-06,0.55,
1994-07,0.49,
1994-08,0.44,
1994-09,0.42,
1994-10,0.40,
1994-11,0.47,
1994-12,0.47,
1995-01,0.40,
1995-02,0.47,
1995-03,0.43,
1995-04,0.40,
1995-05,0.45,
1995-06,0.41,
1995-07,0.34,
1995-08,0.37,
1995-09,0.35,
1995-10,0.36,
1995-11,0.25,
1995-12,0.39,
1996-01,0.43,
1996-02,0.41,
1996-03,0.41,
1996-04,0.43,
1996-05,0.44,
1996-06,0.40,
1996-07,0.39,
1996-08,0.34,
1996-09,0.44,
1996-10,0.43,
1996-11,0.46,
1996-12,0.49,
1997-01,0.48,
1997-02,0.54,
1997-03,0.48,
1997-04,0.42,
1997-05,0.47,
1997-06,0.43,
1997-07,0.41,
1997-08,0.46,
1997-09,0.45,
1997-10,0.45,
1997-11,0.42,
1997-12,0.37,
1998-01,0.36,
1998-02,0.34,
1998-03,0.36,
1998-04,0.34,
1998-05,0.41,
1998-06,0.31,
1998-07,0.30,
1998-08,0.34,
1998-09,0.31,
1998-10,0.28,
1998-11,0.28,
1998-12,0.35,
1999-01,0.30,
1999-02,0.28,
1999-03,0.34,
1999-04,0.37,
1999-05,0.41,
1999-06,0.27,
1999-07,0.48,
1999-08,0.38,
1999-09,0.41,
1999-10,0.48,
1999-11,0.53,
1999-12,0.51,
2000-01,0.63,
2000-02,0.59,
2000-03,0.56,
2000-04,0.63,
2000-05,0.73,
2000-06,0.61,
2000-07,0.70,
2000-08,0.68,
2000-09,0.81,
2000-10,0.67,
2000-11,0.70,
2000-12,0.74,
2001-01,0.58,
2001-02,0.65,
2001-03,0.45,
2001-04,0.59,
2001-05,0.46,
2001-06,0.60,
2001-07,0.59,
2001-08,0.50,
2001-09,0.49,
2001-10,0.45,
2001-11,0.43,
2001-12,0.44,
2002-01,0.40,
2002-02,0.54,
2002-03,0.39,
2002-04,0.49,
2002-05,0.38,
2002-06,0.45,
2002-07,0.44,
2002-08,0.31,
2002-09,0.46,
2002-10,0.55,
2002-11,0.50,
2002-12,0.39,
2003-01,0.63,
2003-02,0.42,
2003-03,0.48,
2003-04,0.62,
2003-05,0.46,
2003-06,0.49,
2003-07,0.37,
2003-08,0.34,
2003-09,0.41,
2003-10,0.38,
2003-11,0.54,
2003-12,0.49,
2004-01,0.44,
2004-02,0.50,
2004-03,0.59,
2004-04,0.32,
2004-05,0.43,
2004-06,0.62,
2004-07,0.55,
2004-08,0.54,
2004-09,0.56,
2004-10,0.83,
2004-11,0.55,
2004-12,0.54,
2005-01,0.65,
2005-02,0.49,
2005-03,0.86,
2005-04,0.70,
2005-05,0.80,
2005-06,0.66,
2005-07,0.80,
2005-08,0.82,
2005-09,1.16,
2005-10,0.92,
2005-11,0.97,
2005-12,0.68,
2006-01,0.79,
2006-02,1.05,
2006-03,0.97,
2006-04,0.79,
2006-05,0.99,
2006-06,0.89,
2006-07,0.99,
2006-08,0.87,
2006-09,1.11,
2006-10,0.90,
2006-11,0.89,
