"",BBK01.OEAA19Q,BBK01.OEAA19Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:17,
2002-01,5.452,
2002-04,5.513,
2002-07,5.712,
2002-10,6.452,
2003-01,6.420,
2003-04,6.704,
2003-07,7.129,
2003-10,7.401,
2004-01,6.578,
2004-04,5.286,
2004-07,5.154,
2004-10,5.300,
2005-01,5.407,
2005-04,5.765,
2005-07,5.369,
2005-10,5.070,
2006-01,5.065,
2006-04,5.145,
2006-07,5.302,
2006-10,5.066,
2007-01,5.324,
2007-04,5.451,
2007-07,5.575,
2007-10,5.780,
2008-01,5.649,
2008-04,8.617,
2008-07,7.334,
2008-10,4.704,
2009-01,4.775,
2009-04,5.948,
2009-07,5.020,
2009-10,5.708,
2010-01,4.198,
2010-04,5.864,
2010-07,4.803,
2010-10,5.239,
2011-01,6.021,
2011-04,3.555,
2011-07,3.485,
2011-10,3.164,
2012-01,6.053,
2012-04,6.334,
2012-07,9.362,
2012-10,5.073,
2013-01,3.829,
2013-04,3.519,
2013-07,3.659,
2013-10,4.150,
2014-01,4.056,
2014-04,4.215,
2014-07,4.477,
