"",BBK01.OEHO04V,BBK01.OEHO04V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:20,
2002-01,-0.185,
2002-04,-0.326,
2002-07,-0.046,
2002-10,0.089,
2003-01,0.063,
2003-04,-0.178,
2003-07,-0.114,
2003-10,-,Nothing exists
2004-01,-0.108,
2004-04,-0.159,
2004-07,-0.082,
2004-10,0.064,
2005-01,-0.003,
2005-04,-0.134,
2005-07,-0.130,
2005-10,-0.045,
2006-01,-0.070,
2006-04,-0.185,
2006-07,-0.240,
2006-10,-0.130,
2007-01,-0.204,
2007-04,-0.325,
2007-07,-0.238,
2007-10,-0.208,
2008-01,-0.332,
2008-04,-0.390,
2008-07,-0.312,
2008-10,0.043,
2009-01,0.158,
2009-04,-0.073,
2009-07,-0.078,
2009-10,0.026,
2010-01,0.011,
2010-04,-0.040,
2010-07,-0.029,
2010-10,0.054,
2011-01,-0.051,
2011-04,-0.233,
2011-07,-0.084,
2011-10,-0.041,
2012-01,0.010,
2012-04,0.124,
2012-07,0.055,
2012-10,0.069,
2013-01,0.052,
2013-04,-0.120,
2013-07,-0.094,
2013-10,-0.018,
2014-01,0.025,
2014-04,-0.025,
2014-07,-0.021,
