"",BBFB1.Q.N.DE.W00200.S1.S1.T.D.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.W00200.S1.S1.T.D.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Expenditure / Industrial Countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:16,
1991-01,14660.631,
1991-04,15852.556,
1991-07,19079.916,
1991-10,15580.026,
1992-01,16260.546,
1992-04,17344.915,
1992-07,20572.370,
1992-10,17327.941,
1993-01,16281.077,
1993-04,17923.949,
1993-07,21401.606,
1993-10,17295.134,
1994-01,17203.378,
1994-04,18704.902,
1994-07,22830.820,
1994-10,18119.109,
1995-01,18903.920,
1995-04,19496.622,
1995-07,23766.829,
1995-10,19228.762,
1996-01,18901.246,
1996-04,20711.082,
1996-07,25175.872,
1996-10,21261.160,
1997-01,21005.457,
1997-04,23500.867,
1997-07,28023.509,
1997-10,23502.408,
1998-01,22336.019,
1998-04,24658.069,
1998-07,29837.608,
1998-10,24993.277,
1999-01,23686.175,
1999-04,27246.969,
1999-07,32480.852,
1999-10,29622.334,
2000-01,27297.497,
2000-04,30066.699,
2000-07,35840.748,
2000-10,33315.983,
2001-01,30576.065,
2001-04,32947.730,
2001-07,38368.128,
2001-10,33888.618,
2002-01,30030.259,
2002-04,31900.400,
2002-07,36556.831,
2002-10,31731.278,
2003-01,28928.937,
2003-04,31502.221,
2003-07,37993.000,
2003-10,31438.988,
2004-01,29622.392,
2004-04,33466.899,
2004-07,37326.763,
2004-10,32295.855,
2005-01,30455.815,
2005-04,33502.745,
2005-07,40526.470,
2005-10,35781.641,
2006-01,33536.706,
2006-04,35225.503,
2006-07,41697.301,
2006-10,37586.993,
2007-01,35093.541,
2007-04,37564.367,
2007-07,44601.551,
2007-10,38144.141,
2008-01,36336.074,
2008-04,39878.401,
2008-07,45851.406,
2008-10,38989.268,
2009-01,33339.338,
2009-04,36719.586,
2009-07,42040.086,
2009-10,36359.344,
2010-01,34295.103,
2010-04,40123.698,
2010-07,46142.952,
2010-10,40974.686,
2011-01,38275.978,
2011-04,42463.420,
2011-07,49131.843,
2011-10,43648.935,
2012-01,41038.389,
2012-04,44280.065,
2012-07,51293.955,
2012-10,44430.549,
2013-01,44673.150,
2013-04,48111.129,
2013-07,55554.436,
2013-10,48509.996,
2014-01,44046.703,Provisional value
2014-04,48381.637,Provisional value
2014-07,57029.896,Provisional value
