"",BBK01.OEHB07V,BBK01.OEHB07V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:42,
2002-01,0.664,
2002-04,0.674,
2002-07,0.673,
2002-10,0.725,
2003-01,0.739,
2003-04,0.730,
2003-07,0.725,
2003-10,0.718,
2004-01,0.712,
2004-04,0.700,
2004-07,0.731,
2004-10,0.722,
2005-01,0.684,
2005-04,0.693,
2005-07,0.679,
2005-10,0.642,
2006-01,0.625,
2006-04,0.622,
2006-07,0.625,
2006-10,0.639,
2007-01,0.674,
2007-04,0.654,
2007-07,0.638,
2007-10,0.619,
2008-01,0.582,
2008-04,0.607,
2008-07,0.630,
2008-10,0.685,
2009-01,0.718,
2009-04,0.818,
2009-07,0.858,
2009-10,0.853,
2010-01,0.855,
2010-04,0.877,
2010-07,0.883,
2010-10,0.876,
2011-01,0.849,
2011-04,0.986,
2011-07,1.185,
2011-10,1.227,
2012-01,1.220,
2012-04,1.214,
2012-07,1.446,
2012-10,1.399,
2013-01,1.412,
2013-04,1.407,
2013-07,1.400,
2013-10,1.451,
2014-01,1.456,
2014-04,1.478,
2014-07,1.462,
