"",BBK01.WX4247,BBK01.WX4247_FLAGS
"",Net sales of domestic debt securities at market values +/- changes in issuers' holdings of their own debt securities,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-11 10:15:08,
2000-01,16013,
2000-02,19240,
2000-03,11544,
2000-04,20722,
2000-05,25052,
2000-06,6483,
2000-07,28959,
2000-08,6497,
2000-09,2894,
2000-10,19606,
2000-11,-5754,
2000-12,6738,
2001-01,-4978,
2001-02,13581,
2001-03,12056,
2001-04,4970,
2001-05,6335,
2001-06,-1876,
2001-07,29768,
2001-08,-1521,
2001-09,8178,
2001-10,18348,
2001-11,7215,
2001-12,-5420,
2002-01,19581,
2002-02,11699,
2002-03,16995,
2002-04,15549,
2002-05,16878,
2002-06,4116,
2002-07,17634,
2002-08,3273,
2002-09,31748,
2002-10,2865,
2002-11,25770,
2002-12,-42073,
2003-01,22618,
2003-02,24832,
2003-03,14596,
2003-04,11476,
2003-05,11846,
2003-06,4044,
2003-07,16051,
2003-08,-8827,
2003-09,12963,
2003-10,26957,
2003-11,10600,
2003-12,-12701,
2004-01,19229,
2004-02,20724,
2004-03,26871,
2004-04,21240,
2004-05,21890,
2004-06,4835,
2004-07,20006,
2004-08,12729,
2004-09,296,
2004-10,6806,
2004-11,10373,
2004-12,-31288,
2005-01,28578,
2005-02,16801,
2005-03,15540,
2005-04,37818,
2005-05,-6147,
2005-06,24791,
2005-07,8728,
2005-08,-4624,
2005-09,12218,
2005-10,675,
2005-11,1524,
2005-12,-25360,
2006-01,37133,
2006-02,3080,
2006-03,26476,
2006-04,4,
2006-05,34028,
2006-06,-6665,
2006-07,18554,
2006-08,-12968,
2006-09,345,
2006-10,23106,
2006-11,510,
2006-12,-21224,
2007-01,31720,
2007-02,9624,
2007-03,9435,
2007-04,8656,
2007-05,30676,
2007-06,5898,
2007-07,1257,
2007-08,-32565,
2007-09,-6455,
2007-10,28364,
2007-11,32319,
2007-12,-28659,
2008-01,17511,
2008-02,-23315,
2008-03,17961,
2008-04,-19612,
2008-05,14559,
2008-06,6081,
2008-07,11277,Estimated value
2008-08,45497,Estimated value
2008-09,-20054,Estimated value
2008-10,-18114,Estimated value
2008-11,49213,Estimated value
2008-12,-14865,Estimated value
2009-01,-3018,
2009-02,150,
2009-03,-1465,
2009-04,3848,
2009-05,38001,
2009-06,3537,
2009-07,-13516,
2009-08,11863,
2009-09,-20844,
2009-10,-6708,
2009-11,11973,
2009-12,-24359,
2010-01,-581,
2010-02,16982,
2010-03,3740,
2010-04,15905,
2010-05,3028,
2010-06,-21782,
2010-07,-33570,
2010-08,14267,
2010-09,-4122,
2010-10,101305,
2010-11,-37712,
2010-12,-58672,
2011-01,13170,
2011-02,38334,
2011-03,-7740,
2011-04,-6295,
2011-05,24797,
2011-06,-16468,
2011-07,-13921,
2011-08,38421,
2011-09,-12170,
2011-10,-21880,
2011-11,21495,
2011-12,-44168,
2012-01,-28450,
2012-02,38149,
2012-03,12235,
2012-04,-1076,
2012-05,7358,
2012-06,-8432,
2012-07,15298,
2012-08,2245,
2012-09,-24453,
2012-10,2879,
2012-11,2214,
2012-12,-39386,
2013-01,-14311,
2013-02,17420,
2013-03,-15782,
2013-04,917,
2013-05,-2884,
2013-06,-17431,
2013-07,-28318,
2013-08,-6470,
2013-09,-4784,
2013-10,5582,
2013-11,4316,
2013-12,-39871,
2014-01,2476,
2014-02,691,
2014-03,-14577,
2014-04,-23586,
2014-05,28566,
2014-06,-5765,
2014-07,-2955,
2014-08,14890,
2014-09,-7661,
2014-10,-2321,
2014-11,2177,
2014-12,-23897,
