"",BBK01.OEAA11I,BBK01.OEAA11I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:09,
2002-01,17.766,
2002-04,15.653,
2002-07,15.743,
2002-10,14.838,
2003-01,13.703,
2003-04,13.674,
2003-07,14.294,
2003-10,12.432,
2004-01,12.773,
2004-04,11.983,
2004-07,12.042,
2004-10,11.899,
2005-01,11.223,
2005-04,11.043,
2005-07,12.256,
2005-10,11.537,
2006-01,11.389,
2006-04,10.936,
2006-07,11.313,
2006-10,12.282,
2007-01,10.210,
2007-04,9.890,
2007-07,9.898,
2007-10,13.053,
2008-01,14.342,
2008-04,14.157,
2008-07,15.741,
2008-10,14.566,
2009-01,14.846,
2009-04,15.194,
2009-07,15.416,
2009-10,16.889,
2010-01,17.254,
2010-04,15.985,
2010-07,12.786,
2010-10,13.067,
2011-01,14.220,
2011-04,15.566,
2011-07,16.908,
2011-10,12.948,
2012-01,16.909,
2012-04,18.086,
2012-07,16.144,
2012-10,12.431,
2013-01,13.826,
2013-04,16.663,
2013-07,8.849,
2013-10,9.292,
2014-01,9.750,
2014-04,10.001,
2014-07,9.293,
