"",BBK01.OEAA40J,BBK01.OEAA40J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:46,
2002-01,0.035,
2002-04,0.035,
2002-07,0.037,
2002-10,0.030,
2003-01,0.027,
2003-04,0.021,
2003-07,0.022,
2003-10,0.021,
2004-01,0.020,
2004-04,0.023,
2004-07,0.026,
2004-10,0.025,
2005-01,0.031,
2005-04,0.029,
2005-07,0.026,
2005-10,0.027,
2006-01,0.028,
2006-04,0.029,
2006-07,0.026,
2006-10,0.025,
2007-01,0.021,
2007-04,0.019,
2007-07,0.023,
2007-10,0.020,
2008-01,0.016,
2008-04,0.015,
2008-07,0.013,
2008-10,0.013,
2009-01,0.013,
2009-04,0.012,
2009-07,0.011,
2009-10,0.010,
2010-01,0.011,
2010-04,0.010,
2010-07,0.010,
2010-10,0.008,
2011-01,0.008,
2011-04,0.009,
2011-07,0.009,
2011-10,0.008,
2012-01,0.008,
2012-04,0.007,
2012-07,0.006,
2012-10,0.006,
2013-01,0.002,
2013-04,0.006,
2013-07,0.005,
2013-10,0.005,
2014-01,0.005,
2014-04,0.003,
2014-07,0.003,
