"",BBK01.OECM03T,BBK01.OECM03T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:39,
2002-01,0.179,
2002-04,0.175,
2002-07,0.162,
2002-10,0.104,
2003-01,0.104,
2003-04,0.097,
2003-07,0.105,
2003-10,0.071,
2004-01,0.033,
2004-04,0.043,
2004-07,0.049,
2004-10,0.043,
2005-01,0.040,
2005-04,0.030,
2005-07,0.030,
2005-10,0.040,
2006-01,0.028,
2006-04,0.031,
2006-07,0.042,
2006-10,0.044,
2007-01,0.063,
2007-04,0.076,
2007-07,0.070,
2007-10,0.144,
2008-01,0.103,
2008-04,0.161,
2008-07,0.134,
2008-10,0.076,
2009-01,0.035,
2009-04,0.046,
2009-07,0.044,
2009-10,0.015,
2010-01,0.022,
2010-04,0.021,
2010-07,0.030,
2010-10,0.014,
2011-01,0.018,
2011-04,0.041,
2011-07,0.052,
2011-10,0.060,
2012-01,0.063,
2012-04,0.065,
2012-07,0.063,
2012-10,0.053,
2013-01,0.049,
2013-04,0.097,
2013-07,0.105,
2013-10,0.104,
2014-01,0.162,
2014-04,0.151,
2014-07,0.152,
