"",BBK01.OEAL04R,BBK01.OEAL04R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:18,
2002-01,0.475,
2002-04,0.432,
2002-07,0.440,
2002-10,0.434,
2003-01,0.423,
2003-04,0.401,
2003-07,0.407,
2003-10,0.364,
2004-01,0.365,
2004-04,0.360,
2004-07,0.346,
2004-10,0.335,
2005-01,0.373,
2005-04,0.371,
2005-07,0.386,
2005-10,0.378,
2006-01,0.352,
2006-04,0.399,
2006-07,0.395,
2006-10,0.408,
2007-01,0.445,
2007-04,0.464,
2007-07,0.493,
2007-10,0.551,
2008-01,0.590,
2008-04,0.620,
2008-07,0.697,
2008-10,0.759,
2009-01,0.712,
2009-04,0.636,
2009-07,0.526,
2009-10,0.452,
2010-01,0.416,
2010-04,0.395,
2010-07,0.371,
2010-10,0.345,
2011-01,0.332,
2011-04,0.327,
2011-07,0.314,
2011-10,0.353,
2012-01,0.356,
2012-04,0.347,
2012-07,0.335,
2012-10,0.309,
2013-01,0.281,
2013-04,0.276,
2013-07,0.265,
2013-10,0.255,
2014-01,0.251,
2014-04,0.233,
2014-07,0.231,
