"",BBK01.OEBK01K,BBK01.OEBK01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:51,
2002-01,2.467,
2002-04,2.630,
2002-07,2.824,
2002-10,2.944,
2003-01,2.856,
2003-04,2.760,
2003-07,2.937,
2003-10,2.721,
2004-01,2.598,
2004-04,2.675,
2004-07,2.684,
2004-10,2.714,
2005-01,2.654,
2005-04,2.683,
2005-07,2.697,
2005-10,2.567,
2006-01,2.482,
2006-04,2.492,
2006-07,2.565,
2006-10,2.485,
2007-01,2.558,
2007-04,2.691,
2007-07,2.947,
2007-10,3.626,
2008-01,3.200,
2008-04,3.166,
2008-07,3.413,
2008-10,3.239,
2009-01,3.089,
2009-04,3.571,
2009-07,3.497,
2009-10,3.497,
2010-01,3.634,
2010-04,3.609,
2010-07,3.534,
2010-10,3.992,
2011-01,3.959,
2011-04,4.311,
2011-07,3.949,
2011-10,4.050,
2012-01,4.151,
2012-04,4.201,
2012-07,3.973,
2012-10,3.946,
2013-01,4.239,
2013-04,4.285,
2013-07,4.688,
2013-10,4.963,
2014-01,5.124,
2014-04,5.156,
2014-07,5.052,
