"",BBFB1.Q.N.DE.B5.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.B5.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / EU28 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:30,
1991-01,-1361.215,
1991-04,4637.644,
1991-07,10109.191,
1991-10,10515.445,
1992-01,-1587.935,
1992-04,2790.743,
1992-07,18595.697,
1992-10,25380.761,
1993-01,32345.530,
1993-04,28955.515,
1993-07,15694.310,
1993-10,21504.968,
1994-01,-6904.684,
1994-04,-9083.718,
1994-07,5109.412,
1994-10,10637.007,
1995-01,1545.064,
1995-04,9948.333,
1995-07,7847.373,
1995-10,5711.920,
1996-01,16263.907,
1996-04,16522.301,
1996-07,11103.997,
1996-10,10471.495,
1997-01,15780.494,
1997-04,9401.026,
1997-07,22874.622,
1997-10,12976.554,
1998-01,15654.152,
1998-04,25474.585,
1998-07,35160.768,
1998-10,4019.678,
1999-01,22127.292,
1999-04,44365.559,
1999-07,41525.150,
1999-10,38467.520,
2000-01,-56901.775,
2000-04,76694.844,
2000-07,23800.184,
2000-10,20851.083,
2001-01,-1981.423,
2001-04,41918.993,
2001-07,36147.405,
2001-10,16733.624,
2002-01,22848.926,
2002-04,52081.499,
2002-07,29279.414,
2002-10,266.400,
2003-01,32881.864,
2003-04,23023.236,
2003-07,-5698.107,
2003-10,14576.108,
2004-01,40956.564,
2004-04,11130.901,
2004-07,49806.666,
2004-10,15379.862,
2005-01,46070.977,
2005-04,64608.013,
2005-07,29729.061,
2005-10,15383.824,
2006-01,45666.294,
2006-04,-1022.018,
2006-07,19135.673,
2006-10,34817.235,
2007-01,56626.496,
2007-04,83746.641,
2007-07,54471.388,
2007-10,79105.378,
2008-01,2634.014,
2008-04,7031.158,
2008-07,16158.615,
2008-10,-58415.859,
2009-01,-24173.252,
2009-04,14943.250,
2009-07,-3563.377,
2009-10,-15032.938,
2010-01,2363.914,
2010-04,-4885.872,
2010-07,27661.922,
2010-10,-1232.842,
2011-01,30235.302,
2011-04,35427.304,
2011-07,17834.524,
2011-10,-39697.971,
2012-01,-1187.573,
2012-04,22263.335,
2012-07,-3317.992,
2012-10,5985.403,
2013-01,-290.319,
2013-04,-20210.846,
2013-07,-6640.715,
2013-10,-12325.632,
2014-01,14797.050,Provisional value
2014-04,12671.543,Provisional value
2014-07,-1298.312,Provisional value
2014-10,3507.159,Provisional value
