"",BBK01.OEAH60J,BBK01.OEAH60J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:15,
2002-01,0.854,
2002-04,0.779,
2002-07,0.770,
2002-10,0.774,
2003-01,0.682,
2003-04,0.638,
2003-07,0.622,
2003-10,0.573,
2004-01,0.611,
2004-04,0.572,
2004-07,0.451,
2004-10,0.401,
2005-01,0.390,
2005-04,0.351,
2005-07,0.360,
2005-10,0.369,
2006-01,0.400,
2006-04,0.421,
2006-07,0.450,
2006-10,0.490,
2007-01,0.520,
2007-04,0.563,
2007-07,0.643,
2007-10,0.857,
2008-01,0.922,
2008-04,1.030,
2008-07,1.152,
2008-10,1.324,
2009-01,0.991,
2009-04,0.873,
2009-07,0.584,
2009-10,0.439,
2010-01,0.376,
2010-04,0.328,
2010-07,0.283,
2010-10,0.271,
2011-01,0.276,
2011-04,0.304,
2011-07,0.327,
2011-10,0.328,
2012-01,0.298,
2012-04,0.269,
2012-07,0.244,
2012-10,0.212,
2013-01,0.182,
2013-04,0.171,
2013-07,0.171,
2013-10,0.161,
2014-01,0.150,
2014-04,0.150,
2014-07,0.139,
