"",BBSF2.M.1.S.A0000.REN01.I.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.S.A0000.REN01.I.F.NAV.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Bonds funds / Net asset value / Non-residents / Distribution and cumulative funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:49:55,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,182,
1993-05,259,
1993-06,315,
1993-07,319,
1993-08,326,
1993-09,328,
1993-10,360,
1993-11,362,
1993-12,374,
1994-01,362,
1994-02,356,
1994-03,291,
1994-04,153,
1994-05,151,
1994-06,159,
1994-07,161,
1994-08,160,
1994-09,124,
1994-10,124,
1994-11,126,
1994-12,125,
1995-01,126,
1995-02,127,
1995-03,128,
1995-04,130,
1995-05,134,
1995-06,133,
1995-07,135,
1995-08,138,
1995-09,139,
1995-10,130,
1995-11,133,
1995-12,150,
1996-01,151,
1996-02,149,
1996-03,151,
1996-04,159,
1996-05,162,
1996-06,162,
1996-07,162,
1996-08,190,
1996-09,193,
1996-10,195,
1996-11,198,
1996-12,200,
1997-01,201,
1997-02,200,
1997-03,198,
1997-04,218,
1997-05,197,
1997-06,200,
1997-07,208,
1997-08,183,
1997-09,184,
1997-10,183,
1997-11,136,
1997-12,138,
1998-01,150,
1998-02,151,
1998-03,152,
1998-04,140,
1998-05,140,
1998-06,142,
1998-07,135,
1998-08,137,
1998-09,136,
1998-10,136,
1998-11,137,
1998-12,648,
1999-01,659,
1999-02,706,
1999-03,744,
1999-04,857,
1999-05,854,
1999-06,854,
1999-07,860,
1999-08,881,
1999-09,882,
1999-10,857,
1999-11,899,
1999-12,918,
2000-01,895,
2000-02,896,
2000-03,904,
2000-04,911,
2000-05,908,
2000-06,915,
2000-07,915,
2000-08,895,
2000-09,865,
2000-10,952,
2000-11,902,
2000-12,913,
2001-01,925,
2001-02,1005,
2001-03,1012,
2001-04,898,
2001-05,858,
2001-06,1030,
2001-07,962,
2001-08,911,
2001-09,918,
2001-10,934,
2001-11,945,
2001-12,925,
2002-01,929,
2002-02,939,
2002-03,917,
2002-04,933,
2002-05,934,
2002-06,952,
2002-07,964,
2002-08,983,
2002-09,1028,
2002-10,1028,
2002-11,1033,
2002-12,1034,
2003-01,1246,
2003-02,1261,
2003-03,1262,
2003-04,1268,
2003-05,1278,
2003-06,1271,
2003-07,1256,
2003-08,1381,
2003-09,1393,
2003-10,1434,
2003-11,1433,
2003-12,1413,
2004-01,1421,
2004-02,1518,
2004-03,1527,
2004-04,1528,
2004-05,1544,
2004-06,1646,
2004-07,1663,
2004-08,1680,
2004-09,1706,
2004-10,1709,
2004-11,1811,
2004-12,1820,
2005-01,1507,
2005-02,1546,
2005-03,1576,
2005-04,1608,
2005-05,1620,
2005-06,1631,
2005-07,1640,
2005-08,1658,
2005-09,1366,
2005-10,1238,
2005-11,1198,
2005-12,1187,
2006-01,1201,
2006-02,1208,
2006-03,1303,
2006-04,1304,
2006-05,1325,
2006-06,1361,
2006-07,1369,
2006-08,1375,
2006-09,1370,
2006-10,1371,
2006-11,1382,
2006-12,1371,
2007-01,1390,
2007-02,1411,
2007-03,1412,
2007-04,1417,
2007-05,1414,
2007-06,1010,
2007-07,1019,
2007-08,1024,
2007-09,1026,
2007-10,1028,
2007-11,1032,
2007-12,1024,
2008-01,912,
2008-02,922,
2008-03,939,
2008-04,987,
2008-05,997,
2008-06,1024,
2008-07,1032,
2008-08,1038,
2008-09,1045,
2008-10,1041,
2008-11,1056,
2008-12,1064,
2009-01,1071,
2009-02,1190,
2009-03,1235,
2009-04,1265,
2009-05,1292,
2009-06,1314,
2009-07,1438,
2009-08,1459,
2009-09,97,
2009-10,97,
2009-11,-,Nothing exists
2009-12,-,Nothing exists
2010-01,-,Nothing exists
2010-02,-,Nothing exists
2010-03,-,Nothing exists
2010-04,-,Nothing exists
2010-05,-,Nothing exists
2010-06,-,Nothing exists
2010-07,-,Nothing exists
2010-08,-,Nothing exists
2010-09,-,Nothing exists
2010-10,101,
2010-11,101,
2010-12,101,
2011-01,100,
2011-02,101,
2011-03,101,
2011-04,101,
2011-05,103,
2011-06,102,
2011-07,104,
2011-08,103,
2011-09,103,
2011-10,104,
2011-11,102,
2011-12,102,
2012-01,104,
2012-02,106,
2012-03,109,
2012-04,109,
2012-05,110,
2012-06,101,
2012-07,103,
2012-08,104,
2012-09,104,
2012-10,28,
2012-11,-,Nothing exists
2012-12,-,Nothing exists
2013-01,-,Nothing exists
2013-02,-,Nothing exists
2013-03,-,Nothing exists
2013-04,-,Nothing exists
2013-05,-,Nothing exists
2013-06,-,Nothing exists
2013-07,-,Nothing exists
2013-08,-,Nothing exists
2013-09,-,Nothing exists
2013-10,-,Nothing exists
2013-11,-,Nothing exists
2013-12,-,Nothing exists
2014-01,-,Nothing exists
2014-02,-,Nothing exists
2014-03,184,
2014-04,184,
2014-05,184,
2014-06,184,
2014-07,184,
2014-08,185,
2014-09,185,
2014-10,184,
2014-11,185,
