"",BBSF2.M.1.T.00000.TOT01.I.F.AKT.JP.00000.F05100.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.AKT.JP.00000.F05100.Z01.00_FLAGS
"",Funds total / Funds total / Shares / Japan,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:13,
2009-09,5995,
2009-10,5738,
2009-11,5578,
2009-12,5974,
2010-01,6565,
2010-02,6874,
2010-03,7361,
2010-04,7452,
2010-05,7246,
2010-06,6872,
2010-07,6604,
2010-08,6452,
2010-09,6190,
2010-10,6188,
2010-11,6952,
2010-12,7680,
2011-01,7489,
2011-02,8081,
2011-03,6348,
2011-04,5764,
2011-05,5850,
2011-06,5817,
2011-07,6169,
2011-08,5342,
2011-09,5366,
2011-10,5198,
2011-11,4999,
2011-12,5059,
2012-01,5162,
2012-02,5295,
2012-03,5236,
2012-04,5215,
2012-05,5135,
2012-06,5214,
2012-07,5184,
2012-08,5105,
2012-09,4953,
2012-10,5026,
2012-11,5077,
2012-12,5166,
2013-01,5447,
2013-02,5917,
2013-03,6756,
2013-04,7390,
2013-05,7064,
2013-06,7312,
2013-07,7389,
2013-08,7214,
2013-09,7719,
2013-10,7577,
2013-11,7767,
2013-12,8153,
2014-01,8123,
2014-02,7949,
2014-03,7758,
2014-04,7669,
2014-05,8463,
2014-06,8929,
2014-07,9605,
2014-08,9678,
2014-09,10029,
2014-10,9962,
2014-11,10066,
