"",BBK01.OEYB15I,BBK01.OEYB15I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:43,
2002-01,0.121,
2002-04,0.117,
2002-07,0.115,
2002-10,0.113,
2003-01,0.107,
2003-04,0.110,
2003-07,0.179,
2003-10,0.139,
2004-01,0.138,
2004-04,0.130,
2004-07,0.136,
2004-10,0.124,
2005-01,0.135,
2005-04,0.126,
2005-07,0.147,
2005-10,0.127,
2006-01,0.114,
2006-04,0.121,
2006-07,0.119,
2006-10,0.091,
2007-01,0.086,
2007-04,0.071,
2007-07,0.081,
2007-10,0.092,
2008-01,0.076,
2008-04,0.083,
2008-07,0.089,
2008-10,0.083,
2009-01,0.083,
2009-04,0.096,
2009-07,0.113,
2009-10,0.099,
2010-01,0.094,
2010-04,0.109,
2010-07,0.125,
2010-10,0.126,
2011-01,0.170,
2011-04,0.173,
2011-07,0.173,
2011-10,0.184,
2012-01,0.187,
2012-04,0.164,
2012-07,0.164,
2012-10,0.155,
2013-01,0.156,
2013-04,0.152,
2013-07,0.140,
2013-10,0.140,
2014-01,0.133,
2014-04,0.143,
2014-07,0.111,
