"",BBK01.ST0325,BBK01.ST0325_FLAGS
"",Money market rates / EURIBOR six-month funds / Daily quotations,
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 13:15:36,
1998-12-31,3.233,
1999-01-01,.,No value available
1999-01-02,.,No value available
1999-01-03,.,No value available
1999-01-04,3.223,
1999-01-05,3.204,
1999-01-06,3.197,
1999-01-07,3.179,
1999-01-08,3.166,
1999-01-09,.,No value available
1999-01-10,.,No value available
1999-01-11,3.156,
1999-01-12,3.153,
1999-01-13,3.141,
1999-01-14,3.121,
1999-01-15,3.085,
1999-01-16,.,No value available
1999-01-17,.,No value available
1999-01-18,3.056,
1999-01-19,3.018,
1999-01-20,3.014,
1999-01-21,3.017,
1999-01-22,3.018,
1999-01-23,.,No value available
1999-01-24,.,No value available
1999-01-25,3.016,
1999-01-26,3.020,
1999-01-27,3.020,
1999-01-28,3.017,
1999-01-29,3.011,
1999-01-30,.,No value available
1999-01-31,.,No value available
1999-02-01,3.017,
1999-02-02,3.028,
1999-02-03,3.035,
1999-02-04,3.043,
1999-02-05,3.044,
1999-02-06,.,No value available
1999-02-07,.,No value available
1999-02-08,3.053,
1999-02-09,3.054,
1999-02-10,3.052,
1999-02-11,3.051,
1999-02-12,3.049,
1999-02-13,.,No value available
1999-02-14,.,No value available
1999-02-15,3.048,
1999-02-16,3.044,
1999-02-17,3.040,
1999-02-18,3.035,
1999-02-19,3.033,
1999-02-20,.,No value available
1999-02-21,.,No value available
1999-02-22,3.029,
1999-02-23,3.026,
1999-02-24,3.027,
1999-02-25,3.038,
1999-02-26,3.055,
1999-02-27,.,No value available
1999-02-28,.,No value available
1999-03-01,3.059,
1999-03-02,3.100,
1999-03-03,3.099,
1999-03-04,3.102,
1999-03-05,3.092,
1999-03-06,.,No value available
1999-03-07,.,No value available
1999-03-08,3.068,
1999-03-09,3.061,
1999-03-10,3.055,
1999-03-11,3.050,
1999-03-12,3.024,
1999-03-13,.,No value available
1999-03-14,.,No value available
1999-03-15,3.015,
1999-03-16,3.015,
1999-03-17,3.017,
1999-03-18,3.010,
1999-03-19,3.003,
1999-03-20,.,No value available
1999-03-21,.,No value available
1999-03-22,2.999,
1999-03-23,2.999,
1999-03-24,2.995,
1999-03-25,2.975,
1999-03-26,2.967,
1999-03-27,.,No value available
1999-03-28,.,No value available
1999-03-29,2.963,
1999-03-30,2.956,
1999-03-31,2.950,
1999-04-01,2.920,
1999-04-02,2.914,
1999-04-03,.,No value available
1999-04-04,.,No value available
1999-04-05,2.912,
