"",BBK01.OEAH87Q,BBK01.OEAH87Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:28,
2002-01,2.667,
2002-04,2.472,
2002-07,2.009,
2002-10,2.386,
2003-01,2.294,
2003-04,2.510,
2003-07,2.200,
2003-10,2.247,
2004-01,2.413,
2004-04,2.892,
2004-07,2.180,
2004-10,3.304,
2005-01,3.869,
2005-04,4.825,
2005-07,5.577,
2005-10,5.668,
2006-01,4.957,
2006-04,5.260,
2006-07,6.092,
2006-10,5.894,
2007-01,5.897,
2007-04,5.895,
2007-07,5.745,
2007-10,6.119,
2008-01,5.690,
2008-04,6.939,
2008-07,6.353,
2008-10,10.159,
2009-01,9.959,
2009-04,7.191,
2009-07,7.927,
2009-10,7.975,
2010-01,8.924,
2010-04,9.285,
2010-07,9.259,
2010-10,8.712,
2011-01,7.681,
2011-04,6.694,
2011-07,6.416,
2011-10,6.023,
2012-01,4.863,
2012-04,5.196,
2012-07,5.628,
2012-10,5.307,
2013-01,4.932,
2013-04,4.801,
2013-07,2.712,
2013-10,3.062,
2014-01,2.679,
2014-04,2.168,
2014-07,2.110,
