"",BBK01.OEXB07T,BBK01.OEXB07T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:12,
2002-01,0.291,
2002-04,0.288,
2002-07,0.286,
2002-10,0.337,
2003-01,0.299,
2003-04,0.305,
2003-07,0.297,
2003-10,0.300,
2004-01,0.325,
2004-04,0.313,
2004-07,0.311,
2004-10,0.309,
2005-01,0.310,
2005-04,0.311,
2005-07,0.304,
2005-10,0.291,
2006-01,0.282,
2006-04,0.282,
2006-07,0.283,
2006-10,0.301,
2007-01,0.293,
2007-04,0.288,
2007-07,0.284,
2007-10,0.214,
2008-01,0.216,
2008-04,0.213,
2008-07,0.207,
2008-10,0.204,
2009-01,0.215,
2009-04,0.210,
2009-07,0.198,
2009-10,0.205,
2010-01,0.207,
2010-04,0.223,
2010-07,0.256,
2010-10,0.225,
2011-01,0.225,
2011-04,0.220,
2011-07,0.184,
2011-10,0.175,
2012-01,0.170,
2012-04,0.164,
2012-07,0.152,
2012-10,0.156,
2013-01,0.153,
2013-04,0.145,
2013-07,0.158,
2013-10,0.159,
2014-01,0.157,
2014-04,0.158,
2014-07,0.168,
