"",BBSF2.M.1.S.I0123.GEF01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0123.GEF01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed funds / Sales receipts / Other financial intermediaries / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:52:56,
2009-09,711,
2009-10,148,
2009-11,161,
2009-12,244,
2010-01,368,
2010-02,72,
2010-03,586,
2010-04,201,
2010-05,347,
2010-06,232,
2010-07,447,
2010-08,105,
2010-09,349,
2010-10,374,
2010-11,321,
2010-12,769,
2011-01,336,
2011-02,86,
2011-03,1096,
2011-04,195,
2011-05,381,
2011-06,632,
2011-07,592,
2011-08,36,
2011-09,184,
2011-10,116,
2011-11,112,
2011-12,145,
2012-01,400,
2012-02,65,
2012-03,244,
2012-04,37,
2012-05,511,
2012-06,368,
2012-07,18,
2012-08,2258,
2012-09,172,
2012-10,285,
2012-11,41,
2012-12,314,
2013-01,398,
2013-02,343,
2013-03,103,
2013-04,51,
2013-05,52,
2013-06,71,
2013-07,439,
2013-08,186,
2013-09,849,
2013-10,59,
2013-11,53,
2013-12,643,
2014-01,106,
2014-02,435,
2014-03,127,
2014-04,139,
2014-05,265,
2014-06,186,
2014-07,139,
2014-08,89,
2014-09,253,
2014-10,115,
2014-11,27,
