"",BBFB1.Q.N.DE.R12.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.R12.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"",Financial account (excl. Reserve assets) / Net domestic investment abroad / Offshore financial centers,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:49,
1991-01,-44.429,
1991-04,-599.491,
1991-07,-3.748,
1991-10,907.190,
1992-01,1603.502,
1992-04,-1081.117,
1992-07,206.155,
1992-10,2804.508,
1993-01,-1704.668,
1993-04,749.295,
1993-07,1630.708,
1993-10,4643.468,
1994-01,-2379.736,
1994-04,2320.443,
1994-07,-145.232,
1994-10,1299.589,
1995-01,1155.366,
1995-04,2706.182,
1995-07,1780.882,
1995-10,322.629,
1996-01,2398.779,
1996-04,1143.756,
1996-07,-2163.141,
1996-10,4467.480,
1997-01,2317.166,
1997-04,2636.458,
1997-07,2276.644,
1997-10,-2070.040,
1998-01,-272.271,
1998-04,1300.244,
1998-07,-506.544,
1998-10,5355.906,
1999-01,-3162.574,
1999-04,-1025.799,
1999-07,1898.092,
1999-10,7955.427,
2000-01,3912.150,
2000-04,7462.427,
2000-07,5823.967,
2000-10,7182.557,
2001-01,7017.669,
2001-04,4439.461,
2001-07,1634.953,
2001-10,-1945.825,
2002-01,-72.463,
2002-04,11194.726,
2002-07,12007.938,
2002-10,-7692.842,
2003-01,6542.681,
2003-04,1167.050,
2003-07,-10771.602,
2003-10,510.397,
2004-01,2704.288,
2004-04,-4568.457,
2004-07,3440.285,
2004-10,4475.872,
2005-01,789.900,
2005-04,24196.814,
2005-07,1220.448,
2005-10,13603.337,
2006-01,-9876.250,
2006-04,25024.385,
2006-07,4182.287,
2006-10,1313.472,
2007-01,11692.026,
2007-04,2241.505,
2007-07,45745.173,
2007-10,20210.014,
2008-01,-23094.699,
2008-04,3420.242,
2008-07,13639.781,
2008-10,-13851.976,
2009-01,-11425.998,
2009-04,9004.203,
2009-07,-4449.163,
2009-10,3108.242,
2010-01,-18279.473,
2010-04,-9772.841,
2010-07,-8298.020,
2010-10,16169.516,
2011-01,-10157.237,
2011-04,-616.881,
2011-07,7891.017,
2011-10,-1427.217,
2012-01,2688.347,
2012-04,-5876.535,
2012-07,6926.924,
2012-10,22367.593,
2013-01,-2069.030,
2013-04,-3428.184,
2013-07,-6463.706,
2013-10,4501.493,
2014-01,7310.920,
2014-04,22424.611,
2014-07,12120.986,
2014-10,48321.409,
