"",BBK01.OEXB19G,BBK01.OEXB19G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:00,
2002-01,2.831,
2002-04,3.925,
2002-07,4.037,
2002-10,4.182,
2003-01,4.276,
2003-04,4.325,
2003-07,4.488,
2003-10,4.668,
2004-01,4.770,
2004-04,5.466,
2004-07,5.771,
2004-10,6.519,
2005-01,4.821,
2005-04,4.836,
2005-07,3.506,
2005-10,3.512,
2006-01,3.499,
2006-04,3.534,
2006-07,3.562,
2006-10,2.974,
2007-01,3.017,
2007-04,3.130,
2007-07,3.217,
2007-10,3.087,
2008-01,3.145,
2008-04,3.221,
2008-07,3.222,
2008-10,3.406,
2009-01,3.644,
2009-04,3.667,
2009-07,3.686,
2009-10,3.649,
2010-01,3.512,
2010-04,3.375,
2010-07,3.274,
2010-10,3.140,
2011-01,3.070,
2011-04,3.110,
2011-07,3.161,
2011-10,3.103,
2012-01,3.022,
2012-04,3.019,
2012-07,3.004,
2012-10,2.969,
2013-01,2.921,
2013-04,2.925,
2013-07,3.039,
2013-10,3.083,
2014-01,3.115,
2014-04,3.016,
2014-07,3.067,
