"",BBEX3.M.QAR.EUR.CA.AB.A01,BBEX3.M.QAR.EUR.CA.AB.A01_FLAGS
"",Exchange rates for the euro in Qatar / EUR 1 = QAR ... (selling),
unit,QAR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:21,
1999-01,4.1800,
1999-02,4.0510,
1999-03,3.9420,
1999-04,3.9100,
1999-05,3.8490,
1999-06,3.7990,
1999-07,3.9390,
1999-08,3.8590,
1999-09,3.9170,
1999-10,3.8730,
1999-11,3.7190,
1999-12,3.7050,
2000-01,3.6140,
2000-02,3.5700,
2000-03,3.5110,
2000-04,3.3590,
2000-05,3.4310,
2000-06,3.4730,
2000-07,3.4020,
2000-08,3.2950,
2000-09,3.2550,
2000-10,3.0990,
2000-11,3.1650,
2000-12,3.4680,
2001-01,3.4120,
2001-02,3.3760,
2001-03,3.2250,
2001-04,3.2830,
2001-05,3.1460,
2001-06,3.1330,
2001-07,3.2260,
2001-08,3.3430,
2001-09,3.3510,
2001-10,3.3430,
2001-11,3.2680,
2001-12,3.2670,
2002-01,3.1710,
2002-02,3.1850,
2002-03,3.2130,
2002-04,3.3270,
2002-05,3.4430,
2002-06,3.6470,
2002-07,3.6220,
2002-08,3.6180,
2002-09,3.6190,
2002-10,3.6350,
2002-11,3.6560,
2002-12,3.8550,
2003-01,3.9810,
2003-02,3.9600,
2003-03,4.0030,
2003-04,4.0870,
2003-05,4.3210,
2003-06,4.2040,
2003-07,4.1690,
2003-08,4.0400,
2003-09,4.2740,
2003-10,4.2920,
2003-11,4.4050,
2003-12,4.6220,
2004-01,4.5790,
2004-02,4.5880,
2004-03,4.4850,
2004-04,4.3430,
2004-05,4.4780,
2004-06,4.4430,
2004-07,4.4060,
2004-08,4.4420,
2004-09,4.5290,
2004-10,4.6950,
2004-11,4.8740,
2004-12,5.0060,
2005-01,4.7840,
2005-02,4.8760,
2005-03,4.7840,
2005-04,4.7290,
2005-05,4.5560,
2005-06,4.4430,
2005-07,4.4770,
2005-08,4.4840,
2005-09,4.4270,
2005-10,4.4310,
2005-11,4.3250,
2005-12,4.3490,
2006-01,4.4390,
2006-02,4.3510,
2006-03,4.4370,
2006-04,4.6430,
2006-05,4.7300,
2006-06,4.6090,
2006-07,4.6910,
2006-08,4.7130,
2006-09,4.6590,
2006-10,4.6730,
2006-11,4.8370,
2006-12,4.8190,
2007-01,4.7610,
2007-02,4.8550,
2007-03,4.8950,
2007-04,5.0100,
2007-05,4.9350,
2007-06,4.9450,
2007-07,5.0360,
2007-08,5.0160,
2007-09,5.1950,
2007-10,5.3020,
2007-11,5.4450,
2007-12,5.4130,
2008-01,5.4500,
2008-02,5.5470,
2008-03,5.7970,
2008-04,5.7430,
2008-05,5.7380,
2008-06,5.7940,
2008-07,5.7220,
2008-08,5.4320,
2008-09,5.2610,
2008-10,4.8550,
2008-11,4.7530,
2008-12,5.1700,
2009-01,4.8120,
2009-02,4.6810,
2009-03,4.8660,
2009-04,4.9120,
2009-05,5.0710,
2009-06,5.1830,
2009-07,5.1610,
2009-08,5.2460,
2009-09,5.3670,
2009-10,5.4450,
2009-11,5.5230,
2009-12,5.3020,
2010-01,5.1240,
2010-02,4.9980,
2010-03,4.9510,
2010-04,4.8730,
2010-05,4.5230,
2010-06,4.4910,
2010-07,4.8080,
2010-08,4.6520,
2010-09,5.0090,
2010-10,5.0840,
2010-11,4.8090,
2010-12,4.8960,
2011-01,4.9980,
2011-02,5.0520,
2011-03,5.1920,
2011-04,5.4560,
2011-05,5.2810,
2011-06,5.3403,
2011-07,5.2670,
2011-08,5.3420,
2011-09,5.0300,
2011-10,5.1740,
2011-11,4.9260,
2011-12,4.7800,
2012-01,4.8750,
2012-02,4.9810,
2012-03,4.9230,
2012-04,4.8970,
2012-05,4.5780,
2012-06,4.6570,
2012-07,4.5440,
2012-08,4.6380,
2012-09,4.7540,
2012-10,4.7910,
2012-11,4.8140,
2012-12,4.8840,
2013-01,5.0140,
2013-02,4.8580,
2013-03,4.7400,
2013-04,4.8400,
2013-05,4.8190,
2013-06,4.8110,
2013-07,4.9010,
2013-08,4.9010,
2013-09,4.9890,
2013-10,5.0640,
2013-11,5.0180,
2013-12,5.0960,
2014-01,5.0040,
2014-02,5.0610,
2014-03,5.0800,
2014-04,5.1010,
2014-05,5.0270,
2014-06,5.0420,
2014-07,4.9630,
2014-08,4.8850,
2014-09,4.6940,
2014-10,4.6680,
2014-11,4.6260,
2014-12,4.5010,
2015-01,4.1750,
2015-02,4.2120,
"","Source: Qatar National Bank, Doha",
