"",BBK01.OEAH02K,BBK01.OEAH02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:29,
2002-01,20.436,
2002-04,21.589,
2002-07,24.708,
2002-10,24.920,
2003-01,25.156,
2003-04,24.847,
2003-07,23.251,
2003-10,24.953,
2004-01,24.435,
2004-04,27.657,
2004-07,29.283,
2004-10,25.845,
2005-01,27.239,
2005-04,28.535,
2005-07,29.321,
2005-10,28.830,
2006-01,29.403,
2006-04,29.651,
2006-07,29.188,
2006-10,30.109,
2007-01,30.440,
2007-04,32.548,
2007-07,32.501,
2007-10,34.231,
2008-01,33.045,
2008-04,32.308,
2008-07,32.561,
2008-10,35.590,
2009-01,39.369,
2009-04,41.820,
2009-07,44.002,
2009-10,45.898,
2010-01,47.737,
2010-04,49.452,
2010-07,48.810,
2010-10,50.647,
2011-01,49.703,
2011-04,48.849,
2011-07,50.533,
2011-10,51.644,
2012-01,54.291,
2012-04,57.336,
2012-07,59.578,
2012-10,60.328,
2013-01,60.921,
2013-04,61.420,
2013-07,63.974,
2013-10,64.212,
2014-01,65.104,
2014-04,65.681,
2014-07,68.469,
