"",BBSF2.M.1.T.00000.DHE01.I.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DHE01.I.F.NAV.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Funds-of-funds: Hedge funds / Net asset value,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:59,
2009-09,298,
2009-10,301,
2009-11,307,
2009-12,308,
2010-01,295,
2010-02,291,
2010-03,289,
2010-04,290,
2010-05,288,
2010-06,285,
2010-07,283,
2010-08,284,
2010-09,230,
2010-10,231,
2010-11,235,
2010-12,219,
2011-01,166,
2011-02,164,
2011-03,160,
2011-04,159,
2011-05,143,
2011-06,155,
2011-07,143,
2011-08,140,
2011-09,138,
2011-10,123,
2011-11,123,
2011-12,121,
2012-01,119,
2012-02,119,
2012-03,117,
2012-04,109,
2012-05,108,
2012-06,107,
2012-07,106,
2012-08,104,
2012-09,102,
2012-10,99,
2012-11,96,
2012-12,93,
2013-01,91,
2013-02,87,
2013-03,81,
2013-04,49,
2013-05,47,
2013-06,44,
2013-07,43,
2013-08,40,
2013-09,39,
2013-10,38,
2013-11,38,
2013-12,38,
2014-01,38,
2014-02,38,
2014-03,37,
2014-04,36,
2014-05,25,
2014-06,25,
2014-07,25,
2014-08,25,
2014-09,26,
2014-10,27,
2014-11,27,
