"",BBAI3.Q.DE.N.V.LE.F332B.S1252.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F332B.S1252.A1.S.1.N.E.Z_FLAGS
"",Assets / Pension undertakings / Securities other than shares excluding financial derivatives over 2 years / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:44,
2005-10,21196,
2006-01,21863,
2006-04,22056,
2006-07,22839,
2006-10,21430,
2007-01,21614,
2007-04,21001,
2007-07,22550,
2007-10,22860,
2008-01,21580,
2008-04,22361,
2008-07,22542,
2008-10,24082,
2009-01,22628,
2009-04,24724,
2009-07,26322,
2009-10,26584,
2010-01,29041,
2010-04,29212,
2010-07,29342,
2010-10,38028,
2011-01,36974,
2011-04,36368,
2011-07,35748,
2011-10,33794,
2012-01,35597,
2012-04,37688,
2012-07,39276,
2012-10,40636,
2013-01,41717,
2013-04,43383,
2013-07,44360,
2013-10,48292,
2014-01,49195,
2014-04,52329,
2014-07,56191,
