"",BBFB1.Q.N.DE.DK.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.DK.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / Denmark,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:15,
1991-01,21.326,
1991-04,64.596,
1991-07,110.469,
1991-10,-4.651,
1992-01,-96.894,
1992-04,-197.493,
1992-07,56.678,
1992-10,-32.899,
1993-01,117.178,
1993-04,251.523,
1993-07,14.541,
1993-10,59.211,
1994-01,-78.337,
1994-04,84.542,
1994-07,41.231,
1994-10,52.199,
1995-01,-46.685,
1995-04,-120.590,
1995-07,-39.975,
1995-10,98.686,
1996-01,-93.583,
1996-04,159.255,
1996-07,-70.186,
1996-10,45.646,
1997-01,89.964,
1997-04,133.457,
1997-07,-82.915,
1997-10,634.748,
1998-01,175.142,
1998-04,124.445,
1998-07,-19.316,
1998-10,160.800,
1999-01,16.868,
1999-04,152.376,
1999-07,441.724,
1999-10,128.701,
2000-01,67.761,
2000-04,141.927,
2000-07,182.746,
2000-10,372.414,
2001-01,522.319,
2001-04,468.158,
2001-07,1235.165,
2001-10,957.367,
2002-01,143.762,
2002-04,714.730,
2002-07,-47.736,
2002-10,740.164,
2003-01,-135.216,
2003-04,139.536,
2003-07,575.440,
2003-10,71.110,
2004-01,-105.759,
2004-04,334.083,
2004-07,-1126.468,
2004-10,-706.657,
2005-01,177.920,
2005-04,691.755,
2005-07,1823.477,
2005-10,1336.902,
2006-01,818.235,
2006-04,275.004,
2006-07,1009.775,
2006-10,2090.089,
2007-01,626.431,
2007-04,509.736,
2007-07,1370.278,
2007-10,277.440,
2008-01,-644.529,
2008-04,524.399,
2008-07,92.833,
2008-10,-721.124,
2009-01,621.770,
2009-04,4614.857,
2009-07,-349.337,
2009-10,-236.988,
2010-01,-2178.490,
2010-04,-2709.018,
2010-07,-4458.241,
2010-10,-588.461,
2011-01,-3117.302,
2011-04,-1666.858,
2011-07,-291.232,
2011-10,1185.221,
2012-01,-280.858,
2012-04,-193.831,
2012-07,-201.897,
2012-10,548.321,
2013-01,-220.859,
2013-04,-226.479,
2013-07,-45.414,
2013-10,-344.308,
2014-01,-161.160,Provisional value
2014-04,-1299.148,Provisional value
2014-07,-196.925,Provisional value
2014-10,85.745,Provisional value
