"",BBK01.OECL02V,BBK01.OECL02V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:31,
2002-01,0.805,
2002-04,1.098,
2002-07,1.099,
2002-10,1.134,
2003-01,1.081,
2003-04,1.060,
2003-07,1.026,
2003-10,1.109,
2004-01,1.019,
2004-04,1.141,
2004-07,1.079,
2004-10,1.112,
2005-01,1.547,
2005-04,1.551,
2005-07,1.545,
2005-10,1.628,
2006-01,1.608,
2006-04,1.534,
2006-07,1.478,
2006-10,1.533,
2007-01,1.509,
2007-04,1.609,
2007-07,1.657,
2007-10,1.761,
2008-01,1.759,
2008-04,1.788,
2008-07,1.885,
2008-10,2.228,
2009-01,2.387,
2009-04,2.171,
2009-07,2.152,
2009-10,2.150,
2010-01,2.170,
2010-04,2.234,
2010-07,2.272,
2010-10,2.361,
2011-01,2.308,
2011-04,2.334,
2011-07,2.422,
2011-10,2.469,
2012-01,2.430,
2012-04,2.549,
2012-07,2.597,
2012-10,2.723,
2013-01,2.788,
2013-04,2.846,
2013-07,2.864,
2013-10,2.968,
2014-01,2.997,
2014-04,3.049,
2014-07,3.059,
