"",BBK01.OEAE01U,BBK01.OEAE01U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:17,
2002-01,6.172,
2002-04,6.235,
2002-07,6.284,
2002-10,6.401,
2003-01,6.321,
2003-04,6.326,
2003-07,6.396,
2003-10,6.422,
2004-01,6.439,
2004-04,5.966,
2004-07,6.001,
2004-10,6.054,
2005-01,5.982,
2005-04,5.912,
2005-07,5.943,
2005-10,5.958,
2006-01,5.924,
2006-04,5.903,
2006-07,5.976,
2006-10,6.039,
2007-01,6.096,
2007-04,6.287,
2007-07,6.247,
2007-10,6.318,
2008-01,6.329,
2008-04,6.350,
2008-07,6.280,
2008-10,6.245,
2009-01,6.125,
2009-04,6.364,
2009-07,6.327,
2009-10,6.502,
2010-01,6.369,
2010-04,6.515,
2010-07,6.552,
2010-10,6.514,
2011-01,6.564,
2011-04,6.677,
2011-07,6.647,
2011-10,6.633,
2012-01,6.588,
2012-04,6.946,
2012-07,7.041,
2012-10,7.042,
2013-01,7.056,
2013-04,7.093,
2013-07,7.222,
2013-10,7.284,
2014-01,7.225,
2014-04,7.365,
2014-07,7.142,
