"",BBK01.OEAF28L,BBK01.OEAF28L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:21,
2002-01,0.050,
2002-04,0.047,
2002-07,0.044,
2002-10,0.048,
2003-01,0.052,
2003-04,0.048,
2003-07,0.042,
2003-10,0.060,
2004-01,0.057,
2004-04,0.060,
2004-07,0.055,
2004-10,0.044,
2005-01,0.039,
2005-04,0.034,
2005-07,0.032,
2005-10,0.057,
2006-01,0.059,
2006-04,0.066,
2006-07,0.063,
2006-10,0.063,
2007-01,0.062,
2007-04,0.061,
2007-07,0.052,
2007-10,0.156,
2008-01,0.154,
2008-04,0.149,
2008-07,0.143,
2008-10,0.139,
2009-01,0.138,
2009-04,0.135,
2009-07,0.110,
2009-10,0.125,
2010-01,0.128,
2010-04,0.055,
2010-07,0.048,
2010-10,0.058,
2011-01,0.099,
2011-04,0.089,
2011-07,0.094,
2011-10,0.093,
2012-01,0.156,
2012-04,0.147,
2012-07,0.141,
2012-10,0.139,
2013-01,0.142,
2013-04,0.147,
2013-07,0.146,
2013-10,0.142,
2014-01,0.131,
2014-04,0.125,
2014-07,0.114,
