"",BBK01.OEYM05Q,BBK01.OEYM05Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:59,
2002-01,0.647,
2002-04,0.639,
2002-07,0.477,
2002-10,0.588,
2003-01,0.467,
2003-04,0.467,
2003-07,0.447,
2003-10,0.472,
2004-01,0.437,
2004-04,0.444,
2004-07,0.447,
2004-10,0.539,
2005-01,0.537,
2005-04,0.547,
2005-07,0.536,
2005-10,0.539,
2006-01,0.541,
2006-04,0.588,
2006-07,0.578,
2006-10,0.597,
2007-01,0.586,
2007-04,0.593,
2007-07,0.593,
2007-10,0.613,
2008-01,0.600,
2008-04,0.634,
2008-07,0.649,
2008-10,0.651,
2009-01,0.717,
2009-04,0.609,
2009-07,0.579,
2009-10,0.604,
2010-01,0.597,
2010-04,0.631,
2010-07,0.650,
2010-10,0.758,
2011-01,0.706,
2011-04,0.720,
2011-07,0.750,
2011-10,0.744,
2012-01,0.723,
2012-04,0.795,
2012-07,0.783,
2012-10,0.817,
2013-01,0.804,
2013-04,1.412,
2013-07,1.874,
2013-10,2.046,
2014-01,2.103,
2014-04,2.190,
2014-07,2.367,
