"",BBK01.OEAE10R,BBK01.OEAE10R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:36,
2002-01,0.788,
2002-04,0.839,
2002-07,0.871,
2002-10,0.893,
2003-01,0.886,
2003-04,0.879,
2003-07,0.904,
2003-10,0.843,
2004-01,0.858,
2004-04,0.881,
2004-07,0.891,
2004-10,0.876,
2005-01,0.803,
2005-04,0.804,
2005-07,0.787,
2005-10,0.729,
2006-01,0.662,
2006-04,0.656,
2006-07,0.605,
2006-10,0.607,
2007-01,0.616,
2007-04,0.608,
2007-07,0.591,
2007-10,0.579,
2008-01,0.587,
2008-04,0.541,
2008-07,0.518,
2008-10,0.552,
2009-01,0.479,
2009-04,0.484,
2009-07,0.458,
2009-10,0.440,
2010-01,0.485,
2010-04,0.489,
2010-07,0.454,
2010-10,0.418,
2011-01,0.413,
2011-04,0.420,
2011-07,0.369,
2011-10,0.375,
2012-01,0.353,
2012-04,0.377,
2012-07,0.368,
2012-10,0.385,
2013-01,0.427,
2013-04,0.409,
2013-07,0.374,
2013-10,0.388,
2014-01,0.389,
2014-04,0.407,
2014-07,0.367,
