"",BBK01.OECJ01L,BBK01.OECJ01L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:12,
2002-01,39.916,
2002-04,46.047,
2002-07,48.376,
2002-10,48.209,
2003-01,47.691,
2003-04,53.520,
2003-07,59.173,
2003-10,53.935,
2004-01,53.967,
2004-04,56.494,
2004-07,52.614,
2004-10,49.844,
2005-01,58.004,
2005-04,63.081,
2005-07,65.866,
2005-10,58.776,
2006-01,70.189,
2006-04,70.546,
2006-07,68.340,
2006-10,61.685,
2007-01,62.874,
2007-04,64.738,
2007-07,71.499,
2007-10,70.205,
2008-01,75.007,
2008-04,74.119,
2008-07,63.757,
2008-10,71.368,
2009-01,74.876,
2009-04,79.061,
2009-07,74.424,
2009-10,67.570,
2010-01,66.773,
2010-04,67.790,
2010-07,64.398,
2010-10,68.776,
2011-01,66.158,
2011-04,79.149,
2011-07,74.081,
2011-10,71.766,
2012-01,67.075,
2012-04,65.916,
2012-07,62.436,
2012-10,64.922,
2013-01,69.177,
2013-04,84.108,
2013-07,53.117,
2013-10,52.493,
2014-01,52.100,
2014-04,50.496,
2014-07,52.024,
