"",BBK01.OEAF28Q,BBK01.OEAF28Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:30,
2002-01,0.030,
2002-04,0.032,
2002-07,0.031,
2002-10,0.031,
2003-01,0.023,
2003-04,0.022,
2003-07,0.021,
2003-10,0.017,
2004-01,0.015,
2004-04,0.015,
2004-07,0.015,
2004-10,0.012,
2005-01,0.010,
2005-04,0.011,
2005-07,0.014,
2005-10,0.011,
2006-01,0.010,
2006-04,0.009,
2006-07,0.009,
2006-10,0.010,
2007-01,0.009,
2007-04,0.007,
2007-07,0.007,
2007-10,0.008,
2008-01,0.007,
2008-04,0.007,
2008-07,0.007,
2008-10,0.007,
2009-01,0.008,
2009-04,0.006,
2009-07,0.007,
2009-10,0.006,
2010-01,0.006,
2010-04,0.009,
2010-07,0.008,
2010-10,0.013,
2011-01,0.023,
2011-04,0.028,
2011-07,0.034,
2011-10,0.048,
2012-01,0.048,
2012-04,0.054,
2012-07,0.045,
2012-10,0.027,
2013-01,0.037,
2013-04,0.024,
2013-07,0.030,
2013-10,0.050,
2014-01,0.046,
2014-04,0.102,
2014-07,0.121,
