"",BBEX3.M.UZS.USD.CA.AC.A01,BBEX3.M.UZS.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Uzbekistan / USD 1 = UZS ... (middle),
unit,UZS (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:56,
1994-07,11.00,
1994-08,12.00,
1994-09,17.00,
1994-10,22.00,
1994-11,25.00,
1994-12,25.00,
1995-01,25.00,
1995-02,25.00,
1995-03,26.10,
1995-04,26.30,
1995-05,27.60,
1995-06,30.00,
1995-07,30.90,
1995-08,32.20,
1995-09,33.50,
1995-10,34.40,
1995-11,36.00,
1995-12,35.50,
1996-01,36.10,
1996-02,36.80,
1996-03,36.10,
1996-04,37.50,
1996-05,38.00,
1996-06,37.70,
1996-07,38.00,
1996-08,39.50,
1996-09,40.00,
1996-10,48.00,
1996-11,55.00,
1996-12,55.00,
1997-01,56.04,
1997-02,57.11,
1997-03,58.19,
1997-04,59.66,
1997-05,60.81,
1997-06,62.20,
1997-07,67.78,
1997-08,73.75,
1997-09,75.79,
1997-10,77.24,
1997-11,78.52,
1997-12,80.17,
1998-01,81.32,
1998-02,82.71,
1998-03,84.50,
1998-04,85.85,
1998-05,87.76,
1998-06,93.46,
1998-07,100.24,
1998-08,102.90,
1998-09,105.43,
1998-10,106.96,
1998-11,108.47,
1998-12,110.00,
1999-01,111.18,
1999-02,112.62,
1999-03,114.47,
1999-04,115.86,
1999-05,117.42,
1999-06,123.62,
1999-07,130.43,
1999-08,133.69,
1999-09,135.54,
1999-10,137.03,
1999-11,138.83,
1999-12,140.00,
2000-01,141.88,
2000-02,144.19,
2000-03,147.15,
2000-04,149.38,
2000-05,237.65,
2000-06,255.40,
2000-07,276.35,
2000-08,289.40,
2000-09,299.21,
2000-10,307.25,
2000-11,316.25,
2000-12,325.00,
2001-01,329.06,
2001-02,334.55,
2001-03,339.94,
2001-04,347.18,
2001-05,355.26,
2001-06,375.77,
2001-07,403.27,
2001-08,417.68,
2001-09,425.99,
2001-10,433.70,
2001-11,683.41,comment
2001-12,686.90,
2002-01,693.12,
2002-02,693.31,
2002-03,695.38,
2002-04,710.57,
2002-05,728.09,
2002-06,750.05,
2002-07,761.25,
2002-08,780.28,
2002-09,807.75,
2002-10,880.55,
2002-11,920.02,
2002-12,970.00,
2003-01,960.38,
2003-02,964.91,
2003-03,970.00,
2003-04,967.63,
2003-05,971.10,
2003-06,974.00,
2003-07,974.42,
2003-08,973.77,
2003-09,975.00,
2003-10,975.48,
2003-11,977.06,
2003-12,980.00,
2004-01,984.61,
2004-02,991.26,
2004-03,1000.00,
2004-04,1004.43,
2004-05,1012.26,
2004-06,1020.00,
2004-07,1025.99,
2004-08,1033.73,
2004-09,1040.00,
2004-10,1045.48,
2004-11,1052.45,
2004-12,1058.00,
2005-01,1062.94,
2005-02,1070.51,
2005-03,1080.00,
2005-04,1087.38,
2005-05,1102.59,
2005-06,1115.00,
2005-07,1122.72,
2005-08,1132.69,
2005-09,1140.00,
2005-10,1152.03,
2005-11,1167.79,
2005-12,1180.00,
2006-01,1190.02,
2006-02,1200.38,
2006-03,1210.00,
2006-04,1220.94,
2006-05,1221.86,
2006-06,1224.60,
2006-07,1226.83,
2006-08,1228.49,
2006-09,1229.79,
2006-10,1232.50,
2006-11,1235.39,
2006-12,1240.00,
2007-01,1242.51,
2007-02,1243.86,
2007-03,1250.07,
2007-04,1254.69,
2007-05,1260.27,
2007-06,1265.02,
2007-07,1267.96,
2007-08,1271.72,
2007-09,1275.03,
2007-10,1280.65,
2007-11,1285.23,
2007-12,1290.00,
2008-01,1294.17,
2008-02,1296.38,
2008-03,1300.03,
2008-04,1304.75,
2008-05,1307.50,
2008-06,1310.02,
2008-07,1315.41,
2008-08,1321.07,
2008-09,1330.00,
2008-10,1348.10,
2008-11,1366.60,
2008-12,1393.00,
2009-01,1400.52,
2009-02,1408.44,
2009-03,1432.00,
2009-04,1449.50,
2009-05,1466.60,
2009-06,1483.50,
2009-07,1489.20,
2009-08,1494.10,
2009-09,1499.00,
2009-10,1503.50,
2009-11,1507.55,
2009-12,1511.40,
2010-01,1524.03,
2010-02,1537.35,
2010-03,1553.70,
2010-04,1566.44,
2010-05,1578.87,
2010-06,1595.00,
2010-07,1605.55,
2010-08,1614.49,
2010-09,1620.20,
2010-10,1626.30,
2010-11,1633.90,
2010-12,1640.00,
2011-01,1650.84,
2011-02,1664.52,
2011-03,1681.00,
2011-04,1691.57,
2011-05,1704.00,
2011-06,1713.80,
2011-07,1724.94,
2011-08,1736.77,
2011-09,1746.60,
2011-10,1761.61,
2011-11,1780.22,
2011-12,1795.00,
2012-01,1811.86,
2012-02,1827.89,
2012-03,1843.50,
2012-04,1856.15,
2012-05,1871.44,
2012-06,1884.75,
2012-07,1904.90,
2012-08,1921.74,
2012-09,1938.60,
2012-10,1956.21,
2012-11,1969.43,
2012-12,1984.00,
2013-01,1998.82,
2013-02,2021.22,
2013-03,2039.60,
2013-04,2064.61,
2013-05,2081.59,
2013-06,2093.10,
2013-07,2107.93,
2013-08,2124.51,
2013-09,2146.70,
2013-10,2173.94,
2013-11,2190.67,
2013-12,2202.20,
2014-01,2203.49,
2014-02,2229.71,
2014-03,2257.30,
2014-04,2280.28,
2014-05,2296.43,
2014-06,2312.30,
2014-07,2332.24,
2014-08,2348.02,
2014-09,2367.40,
2014-10,2383.98,
2014-11,2401.09,
2014-12,2422.40,
2015-01,2436.16,
"","General: On 22 November 1993, the Uzbekistan sum was introduced as the country's own currency in the form of coupons (the rouble remained in parallel circulation until the end of 1993). With effect from 1 July 1994, the coupons were replaced by the new currency, the Uzbekistan sum, at a rate of 1,000 coupons = UZS 1.",
"","Source: Since 1998 Central Bank of the Republic of Uzbekistan, Tashkent  1994 - 1997 National Bank for Foreign Economic Activity, Tashkent",
"","Comment on 2001-11: On 1 November 2001, the exchange rates were adjusted sharply. Exchange rate on 1 November 2001: USD 1 = UZS 680.90; calculated devaluation: 36.3%.",
