"",BBK01.OEAD02S,BBK01.OEAD02S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:48,
2002-01,0.021,
2002-04,0.019,
2002-07,0.020,
2002-10,0.018,
2003-01,0.018,
2003-04,0.017,
2003-07,0.018,
2003-10,0.016,
2004-01,0.018,
2004-04,0.020,
2004-07,0.028,
2004-10,0.027,
2005-01,0.028,
2005-04,0.025,
2005-07,0.024,
2005-10,0.023,
2006-01,0.022,
2006-04,0.022,
2006-07,0.019,
2006-10,0.024,
2007-01,0.021,
2007-04,0.015,
2007-07,0.015,
2007-10,0.014,
2008-01,0.015,
2008-04,0.015,
2008-07,0.025,
2008-10,0.023,
2009-01,0.019,
2009-04,0.021,
2009-07,0.021,
2009-10,0.022,
2010-01,0.034,
2010-04,0.029,
2010-07,0.028,
2010-10,0.025,
2011-01,0.024,
2011-04,0.030,
2011-07,0.030,
2011-10,0.058,
2012-01,0.061,
2012-04,0.061,
2012-07,0.062,
2012-10,0.061,
2013-01,0.060,
2013-04,0.056,
2013-07,0.053,
2013-10,0.063,
2014-01,0.060,
2014-04,0.055,
2014-07,0.050,
