"",BBK01.CELEN3,BBK01.CELEN3_FLAGS
"",short-term loans                                              debtor: Rest of the world                   creditor: MFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:48:18,
1999-01,32.7,
1999-04,-9.6,
1999-07,18.5,
1999-10,12.0,
2000-01,-16.3,
2000-04,9.8,
2000-07,-10.3,
2000-10,-7.7,
2001-01,41.2,
2001-04,-20.4,
2001-07,17.0,
2001-10,-34.6,
2002-01,31.7,
2002-04,-2.5,
2002-07,22.1,
2002-10,-15.8,
2003-01,18.3,
2003-04,-16.6,
2003-07,10.9,
2003-10,10.7,
2004-01,27.9,
2004-04,-40.9,
2004-07,52.2,
2004-10,-4.7,
2005-01,5.8,
2005-04,-16.7,
2005-07,11.0,
2005-10,12.5,
2006-01,-19.1,
2006-04,-1.2,
2006-07,35.9,
2006-10,-14.2,
2007-01,41.9,
2007-04,9.7,
2007-07,40.6,
2007-10,23.9,
2008-01,49.8,
2008-04,-22.9,
2008-07,9.0,
2008-10,-23.5,
2009-01,17.2,
2009-04,29.6,
2009-07,-6.6,
2009-10,-10.5,
2010-01,29.3,
2010-04,49.8,
2010-07,47.8,
2010-10,7.9,
2011-01,-2.6,
2011-04,27.4,
2011-07,116.3,
2011-10,-13.1,
2012-01,168.5,
2012-04,108.1,
2012-07,-25.3,
2012-10,-50.2,
2013-01,-56.2,
2013-04,-19.3,
2013-07,-11.7,
2013-10,-63.0,
2014-01,-33.0,
2014-04,0.0,
2014-07,9.3,
