"",BBFB1.Q.N.DE.A1.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.A1.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / America,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:14,
1991-01,6608.002,
1991-04,6359.300,
1991-07,7307.870,
1991-10,7433.467,
1992-01,6790.060,
1992-04,6629.994,
1992-07,7355.456,
1992-10,7419.749,
1993-01,7243.870,
1993-04,7499.846,
1993-07,7529.977,
1993-10,8704.618,
1994-01,8266.884,
1994-04,9035.100,
1994-07,8660.881,
1994-10,9960.692,
1995-01,9090.881,
1995-04,9430.133,
1995-07,8668.748,
1995-10,9513.913,
1996-01,8879.978,
1996-04,9755.186,
1996-07,10326.121,
1996-10,11188.944,
1997-01,11390.421,
1997-04,12467.541,
1997-07,13953.577,
1997-10,14469.500,
1998-01,14682.184,
1998-04,15506.788,
1998-07,15869.021,
1998-10,15985.304,
1999-01,14589.815,
1999-04,16537.634,
1999-07,17138.359,
1999-10,18567.174,
2000-01,18095.108,
2000-04,18921.741,
2000-07,19345.568,
2000-10,20823.505,
2001-01,21142.543,
2001-04,20309.109,
2001-07,20478.928,
2001-10,20054.349,
2002-01,19539.086,
2002-04,20035.822,
2002-07,21254.625,
2002-10,20436.564,
2003-01,18112.470,
2003-04,17738.941,
2003-07,18132.564,
2003-10,17569.255,
2004-01,18531.824,
2004-04,20176.856,
2004-07,19821.065,
2004-10,20240.374,
2005-01,19851.154,
2005-04,21888.529,
2005-07,23196.477,
2005-10,23150.756,
2006-01,24296.009,
2006-04,22917.166,
2006-07,24572.307,
2006-10,26898.842,
2007-01,24187.266,
2007-04,22698.851,
2007-07,25173.098,
2007-10,23606.165,
2008-01,24317.553,
2008-04,24920.857,
2008-07,24273.127,
2008-10,21671.666,
2009-01,18250.586,
2009-04,17776.217,
2009-07,18108.468,
2009-10,19438.557,
2010-01,20603.007,
2010-04,23867.296,
2010-07,25319.262,
2010-10,24921.027,
2011-01,24499.885,
2011-04,24727.637,
2011-07,26888.585,
2011-10,28281.579,
2012-01,30395.840,
2012-04,28766.624,
2012-07,33737.377,
2012-10,30382.582,
2013-01,31373.853,
2013-04,31599.765,
2013-07,32313.160,
2013-10,32937.268,
2014-01,31980.510,Provisional value
2014-04,32039.416,Provisional value
2014-07,35375.590,Provisional value
