"",BBK01.OEBB04G,BBK01.OEBB04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:33,
2002-01,67.398,
2002-04,68.888,
2002-07,69.396,
2002-10,69.608,
2003-01,67.579,
2003-04,68.193,
2003-07,67.985,
2003-10,67.477,
2004-01,66.874,
2004-04,68.435,
2004-07,69.450,
2004-10,68.554,
2005-01,34.564,
2005-04,34.541,
2005-07,24.273,
2005-10,24.842,
2006-01,25.088,
2006-04,25.135,
2006-07,25.427,
2006-10,25.577,
2007-01,26.019,
2007-04,26.431,
2007-07,26.685,
2007-10,26.570,
2008-01,26.718,
2008-04,27.281,
2008-07,27.295,
2008-10,27.476,
2009-01,27.560,
2009-04,34.209,
2009-07,33.653,
2009-10,33.243,
2010-01,32.982,
2010-04,32.600,
2010-07,32.329,
2010-10,31.498,
2011-01,31.163,
2011-04,30.637,
2011-07,30.701,
2011-10,30.582,
2012-01,30.377,
2012-04,30.429,
2012-07,30.282,
2012-10,30.114,
2013-01,30.184,
2013-04,30.569,
2013-07,30.720,
2013-10,30.492,
2014-01,30.892,
2014-04,31.305,
2014-07,31.566,
