"",BBQFS.M.W0.CORP.RSK_HY_EUR._X.0000,BBQFS.M.W0.CORP.RSK_HY_EUR._X.0000_FLAGS
"",Risk premiums non-investment-grade corporate bonds denominated in Euro (FSR 2014),
unit,BP (hypothetically euro-based),
unit multiplier,one,
last update,2015-01-07 17:09:26,
1998-01,585.00,
1998-02,572.00,
1998-03,556.00,
1998-04,524.00,
1998-05,559.00,
1998-06,602.00,
1998-07,572.00,
1998-08,767.00,
1998-09,898.00,
1998-10,922.00,
1998-11,754.00,
1998-12,753.00,
1999-01,712.00,
1999-02,741.00,
1999-03,707.00,
1999-04,683.00,
1999-05,673.00,
1999-06,613.00,
1999-07,611.00,
1999-08,637.00,
1999-09,627.00,
1999-10,611.00,
1999-11,569.00,
1999-12,542.00,
2000-01,536.00,
2000-02,540.00,
2000-03,596.00,
2000-04,602.00,
2000-05,725.00,
2000-06,725.00,
2000-07,756.00,
2000-08,767.00,
2000-09,871.00,
2000-10,964.00,
2000-11,1211.00,
2000-12,1093.00,
2001-01,973.00,
2001-02,996.00,
2001-03,1173.00,
2001-04,1056.00,
2001-05,993.00,
2001-06,1206.00,
2001-07,1216.00,
2001-08,1249.00,
2001-09,1557.00,
2001-10,1483.00,
2001-11,1452.00,
2001-12,1235.00,
2002-01,1222.00,
2002-02,1276.00,
2002-03,1149.00,
2002-04,1117.00,
2002-05,1029.00,
2002-06,1135.00,
2002-07,1187.00,
2002-08,1193.00,
2002-09,1349.00,
2002-10,1141.00,
2002-11,987.00,
2002-12,1007.00,
2003-01,797.00,
2003-02,847.00,
2003-03,790.00,
2003-04,594.00,
2003-05,604.00,
2003-06,527.00,
2003-07,510.00,
2003-08,458.00,
2003-09,455.00,
2003-10,387.00,
2003-11,362.00,
2003-12,410.00,
2004-01,369.00,
2004-02,372.00,
2004-03,363.00,
2004-04,329.00,
2004-05,387.00,
2004-06,353.00,
2004-07,356.00,
2004-08,348.00,
2004-09,332.00,
2004-10,318.00,
2004-11,297.00,
2004-12,278.00,
2005-01,285.00,
2005-02,243.00,
2005-03,329.00,
2005-04,389.00,
2005-05,440.00,
2005-06,392.00,
2005-07,330.00,
2005-08,341.00,
2005-09,333.00,
2005-10,335.00,
2005-11,365.00,
2005-12,361.00,
2006-01,328.00,
2006-02,335.00,
2006-03,294.00,
2006-04,272.00,
2006-05,303.00,
2006-06,314.00,
2006-07,302.00,
2006-08,289.00,
2006-09,283.00,
2006-10,253.00,
2006-11,252.00,
2006-12,218.00,
2007-01,208.00,
2007-02,222.00,
2007-03,218.00,
2007-04,205.00,
2007-05,187.00,
2007-06,219.00,
2007-07,350.00,
2007-08,410.00,
2007-09,364.00,
2007-10,370.00,
2007-11,494.00,
2007-12,491.00,
2008-01,663.00,
2008-02,735.00,
2008-03,765.00,
2008-04,622.00,
2008-05,565.00,
2008-06,733.00,
2008-07,835.00,
2008-08,866.00,
2008-09,1208.00,
2008-10,1919.00,
2008-11,2186.00,
2008-12,2204.00,
2009-01,1825.00,
2009-02,2107.00,
2009-03,1993.00,
2009-04,1887.00,
2009-05,1554.00,
2009-06,1418.00,
2009-07,1159.00,
2009-08,1055.00,
2009-09,883.00,
2009-10,849.00,
2009-11,813.00,
2009-12,755.00,
2010-01,705.00,
2010-02,718.00,
2010-03,623.00,
2010-04,617.00,
2010-05,799.00,
2010-06,779.00,
2010-07,669.00,
2010-08,683.00,
2010-09,591.00,
2010-10,534.00,
2010-11,653.00,
2010-12,603.00,
2011-01,528.00,
2011-02,501.00,
2011-03,516.00,
2011-04,490.00,
2011-05,505.00,
2011-06,561.00,
2011-07,628.00,
2011-08,827.00,
2011-09,988.00,
2011-10,811.00,
2011-11,993.00,
2011-12,966.00,
2012-01,864.00,
2012-02,745.00,
2012-03,731.00,
2012-04,773.00,
2012-05,877.00,
2012-06,807.00,
2012-07,814.00,
2012-08,738.00,
2012-09,694.00,
2012-10,646.00,
2012-11,605.00,
2012-12,555.00,
2013-01,540.00,
2013-02,535.00,
2013-03,534.00,
2013-04,472.00,
2013-05,481.00,
2013-06,541.00,
2013-07,505.00,
2013-08,499.00,
2013-09,491.00,
2013-10,445.00,
2013-11,421.00,
2013-12,360.00,
2014-01,372.00,
2014-02,322.00,
2014-03,313.00,
2014-04,310.00,
2014-05,322.00,
2014-06,326.00,
2014-07,356.00,
2014-08,355.00,
2014-09,396.00,
2014-10,400.00,
"",Source: Bloomberg (Bank of America / Merril Lynch),
