"",BBFB1.Q.N.DE.R5.S1.S1.T.L.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.R5.S1.S1.T.L.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Reinvested earnings / OPEC (Organization of Petroleum Exporting Countries),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:46,
1991-01,1.618,
1991-04,1.618,
1991-07,1.618,
1991-10,1.618,
1992-01,-31.751,
1992-04,-32.160,
1992-07,-31.751,
1992-10,-31.751,
1993-01,-25.389,
1993-04,-25.389,
1993-07,-25.389,
1993-10,-25.389,
1994-01,0.129,
1994-04,-0.025,
1994-07,0.129,
1994-10,0.129,
1995-01,0.170,
1995-04,0.170,
1995-07,0.170,
1995-10,0.170,
1996-01,4.844,
1996-04,4.844,
1996-07,4.250,
1996-10,4.844,
1997-01,-,Nothing exists
1997-04,-,Nothing exists
1997-07,-,Nothing exists
1997-10,-,Nothing exists
1998-01,-,Nothing exists
1998-04,-,Nothing exists
1998-07,-,Nothing exists
1998-10,-,Nothing exists
1999-01,1.000,
1999-04,1.000,
1999-07,1.000,
1999-10,1.000,
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,-,Nothing exists
2001-01,-59.115,
2001-04,-77.331,
2001-07,-74.331,
2001-10,-61.116,
2002-01,10.781,
2002-04,12.945,
2002-07,12.003,
2002-10,16.152,
2003-01,6.429,
2003-04,5.704,
2003-07,3.359,
2003-10,9.642,
2004-01,11.717,
2004-04,10.555,
2004-07,7.358,
2004-10,12.844,
2005-01,66.456,
2005-04,46.542,
2005-07,69.125,
2005-10,50.876,
2006-01,27.028,
2006-04,11.123,
2006-07,-211.024,
2006-10,35.560,
2007-01,80.459,
2007-04,62.202,
2007-07,61.685,
2007-10,36.909,
2008-01,95.461,
2008-04,-67.157,
2008-07,-105.722,
2008-10,-30.300,
2009-01,-4.068,
2009-04,-10.540,
2009-07,-5.487,
2009-10,-2.907,
2010-01,-9.143,
2010-04,-6.497,
2010-07,-35.179,
2010-10,-8.352,
2011-01,-12.079,
2011-04,-46.823,
2011-07,-12.120,
2011-10,-12.978,
2012-01,-14.540,
2012-04,-23.168,
2012-07,-14.814,
2012-10,-14.808,
2013-01,-24.108,
2013-04,-22.724,
2013-07,-21.948,
2013-10,-21.786,
2014-01,-25.642,Provisional value
2014-04,-33.786,Provisional value
2014-07,-31.808,Provisional value
2014-10,-33.275,Provisional value
