"",BBFB1.Q.N.DE.ES.S1.S1.T.C.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.ES.S1.S1.T.C.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Receipts / Spain,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:51,
1991-01,185.010,
1991-04,198.133,
1991-07,250.868,
1991-10,184.402,
1992-01,152.724,
1992-04,140.941,
1992-07,187.545,
1992-10,129.755,
1993-01,-83.430,
1993-04,-30.525,
1993-07,-53.937,
1993-10,-65.340,
1994-01,228.229,
1994-04,200.593,
1994-07,243.498,
1994-10,277.518,
1995-01,433.571,
1995-04,404.747,
1995-07,389.543,
1995-10,372.297,
1996-01,164.556,
1996-04,310.283,
1996-07,370.193,
1996-10,289.099,
1997-01,490.674,
1997-04,549.526,
1997-07,624.020,
1997-10,722.150,
1998-01,457.215,
1998-04,517.519,
1998-07,573.424,
1998-10,650.994,
1999-01,570.152,
1999-04,582.820,
1999-07,703.993,
1999-10,673.954,
2000-01,829.841,
2000-04,857.820,
2000-07,881.822,
2000-10,851.351,
2001-01,778.643,
2001-04,772.888,
2001-07,823.811,
2001-10,727.692,
2002-01,770.174,
2002-04,819.629,
2002-07,860.560,
2002-10,914.877,
2003-01,913.821,
2003-04,988.233,
2003-07,994.995,
2003-10,1028.327,
2004-01,1265.800,
2004-04,1291.903,
2004-07,1581.377,
2004-10,1638.795,
2005-01,1633.171,
2005-04,1595.946,
2005-07,1720.151,
2005-10,1705.533,
2006-01,2077.934,
2006-04,2294.375,
2006-07,2551.639,
2006-10,2751.797,
2007-01,2934.732,
2007-04,3149.836,
2007-07,3232.089,
2007-10,3177.151,
2008-01,3201.455,
2008-04,3118.189,
2008-07,3068.060,
2008-10,2967.913,
2009-01,2550.067,
2009-04,2436.426,
2009-07,2329.131,
2009-10,2274.883,
2010-01,2306.537,
2010-04,2386.042,
2010-07,2241.088,
2010-10,2359.480,
2011-01,2344.089,
2011-04,2542.227,
2011-07,2426.042,
2011-10,2246.640,
2012-01,2077.119,
2012-04,2025.706,
2012-07,1996.272,
2012-10,1906.682,
2013-01,1621.040,
2013-04,1612.103,
2013-07,1581.343,
2013-10,1630.772,
2014-01,1464.815,Provisional value
2014-04,1615.438,Provisional value
2014-07,1565.943,Provisional value
