"",BBFB1.Q.N.DE.F1.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.F1.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Expenditure / Africa,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:08,
1991-01,121.326,
1991-04,100.820,
1991-07,149.275,
1991-10,134.135,
1992-01,120.619,
1992-04,103.573,
1992-07,116.349,
1992-10,122.684,
1993-01,111.354,
1993-04,105.061,
1993-07,129.961,
1993-10,152.168,
1994-01,114.509,
1994-04,114.314,
1994-07,130.082,
1994-10,146.494,
1995-01,127.390,
1995-04,125.327,
1995-07,129.628,
1995-10,145.841,
1996-01,129.692,
1996-04,120.569,
1996-07,127.057,
1996-10,157.751,
1997-01,134.454,
1997-04,126.025,
1997-07,137.713,
1997-10,158.001,
1998-01,128.071,
1998-04,115.098,
1998-07,135.068,
1998-10,179.125,
1999-01,124.447,
1999-04,128.762,
1999-07,207.883,
1999-10,182.564,
2000-01,145.926,
2000-04,214.746,
2000-07,138.816,
2000-10,139.854,
2001-01,140.306,
2001-04,154.769,
2001-07,143.322,
2001-10,149.211,
2002-01,121.140,
2002-04,148.047,
2002-07,134.396,
2002-10,152.968,
2003-01,118.242,
2003-04,123.184,
2003-07,243.047,
2003-10,139.263,
2004-01,130.522,
2004-04,143.574,
2004-07,132.764,
2004-10,141.705,
2005-01,153.431,
2005-04,164.606,
2005-07,184.306,
2005-10,180.586,
2006-01,160.211,
2006-04,170.817,
2006-07,166.065,
2006-10,219.527,
2007-01,166.945,
2007-04,162.686,
2007-07,175.546,
2007-10,170.111,
2008-01,155.392,
2008-04,173.883,
2008-07,173.450,
2008-10,209.802,
2009-01,193.514,
2009-04,158.143,
2009-07,171.232,
2009-10,211.931,
2010-01,183.050,
2010-04,181.602,
2010-07,190.213,
2010-10,270.357,
2011-01,166.184,
2011-04,184.332,
2011-07,204.361,
2011-10,289.610,
2012-01,175.150,
2012-04,172.980,
2012-07,206.945,
2012-10,314.077,
2013-01,220.587,
2013-04,256.660,
2013-07,255.059,
2013-10,428.853,
2014-01,187.762,Provisional value
2014-04,242.093,Provisional value
2014-07,235.061,Provisional value
